Size,Iteration,Sequence,RunIndex,MetricName,Tool,Scenario,MetricValue,CaseName,PhaseName
64,1,1,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,230883,LowSynchCase,EMFResourceInitialization
64,1,1,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,11194944,LowSynchCase,EMFResourceInitialization
64,1,2,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3945169177,LowSynchCase,Generation
64,1,2,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,307352608,LowSynchCase,Generation
64,1,3,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,873207363,LowSynchCase,Initialization
64,1,3,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,269875016,LowSynchCase,Initialization
64,1,3,3,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,658566240,LowSynchCase,Initialization
64,1,3,3,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,369950080,LowSynchCase,Initialization
64,1,4,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1395269910,LowSynchCase,M2MTransformation1
64,1,4,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,499924720,LowSynchCase,M2MTransformation1
64,1,4,3,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1507284000,LowSynchCase,M2MTransformation1
64,1,4,3,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,981029338,LowSynchCase,M2MTransformation1
64,1,5,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,182932,LowSynchCase,Modification
64,1,5,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,499928448,LowSynchCase,Modification
64,1,6,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1765267575,LowSynchCase,M2MTransformation2
64,1,6,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,499951048,LowSynchCase,M2MTransformation2
64,1,6,3,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1185953466,LowSynchCase,M2MTransformation2
