MetricValue,MetricName,CaseName,Size,PhaseName,RunIndex,Iteration,Tool,Sequence,Scenario
333481,Time,LowSynchCase,64,EMFResourceInitialization,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,BasicXform
11134272,Memory,LowSynchCase,64,EMFResourceInitialization,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,BasicXform
3747785395,Time,LowSynchCase,64,Generation,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,BasicXform
312724232,Memory,LowSynchCase,64,Generation,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,BasicXform
763252438,Time,LowSynchCase,64,Initialization,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
302096392,Memory,LowSynchCase,64,Initialization,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
327225148,AverageMemory,LowSynchCase,64,Initialization,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
573174552,PeakMemory,LowSynchCase,64,Initialization,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
1382596405,Time,LowSynchCase,64,M2MTransformation1,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
533932808,Memory,LowSynchCase,64,M2MTransformation1,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
1496872008,PeakMemory,LowSynchCase,64,M2MTransformation1,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
1013272597,AverageMemory,LowSynchCase,64,M2MTransformation1,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
168938,Time,LowSynchCase,64,Modification,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,BasicXform
533874192,Memory,LowSynchCase,64,Modification,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,BasicXform
1970677883,Time,LowSynchCase,64,M2MTransformation2,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
533896688,Memory,LowSynchCase,64,M2MTransformation2,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
1177497770,AverageMemory,LowSynchCase,64,M2MTransformation2,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
1877087880,PeakMemory,LowSynchCase,64,M2MTransformation2,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
150343,Time,LowSynchCase,64,Modification,3,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,BasicXform
533902992,Memory,LowSynchCase,64,Modification,3,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,BasicXform
1753612602,Time,LowSynchCase,64,M2MTransformation2,3,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
533925024,Memory,LowSynchCase,64,M2MTransformation2,3,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
1196230546,AverageMemory,LowSynchCase,64,M2MTransformation2,3,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
1858557128,PeakMemory,LowSynchCase,64,M2MTransformation2,3,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
162633,Time,LowSynchCase,64,Modification,3,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,BasicXform
533931496,Memory,LowSynchCase,64,Modification,3,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,BasicXform
1963540108,Time,LowSynchCase,64,M2MTransformation2,3,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
533953648,Memory,LowSynchCase,64,M2MTransformation2,3,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
1930288216,PeakMemory,LowSynchCase,64,M2MTransformation2,3,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
1190129250,AverageMemory,LowSynchCase,64,M2MTransformation2,3,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
113191,Time,LowSynchCase,64,Modification,3,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11,BasicXform
533960448,Memory,LowSynchCase,64,Modification,3,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11,BasicXform
1714747562,Time,LowSynchCase,64,M2MTransformation2,3,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
