Size,Tool,MetricValue,Scenario,RunIndex,Iteration,CaseName,MetricName,PhaseName,Sequence
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,487891,BasicXform,3,1,LowSynchCase,Time,EMFResourceInitialization,1
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11191808,BasicXform,3,1,LowSynchCase,Memory,EMFResourceInitialization,1
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3633449332,BasicXform,3,1,LowSynchCase,Time,Generation,2
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,306112440,BasicXform,3,1,LowSynchCase,Memory,Generation,2
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,773028546,BasicXform,3,1,LowSynchCase,Time,Initialization,3
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,269516488,BasicXform,3,1,LowSynchCase,Memory,Initialization,3
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,603996240,BasicXform,3,1,LowSynchCase,PeakMemory,Initialization,3
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,342457028,BasicXform,3,1,LowSynchCase,AverageMemory,Initialization,3
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1348319209,BasicXform,3,1,LowSynchCase,Time,M2MTransformation1,4
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,499602024,BasicXform,3,1,LowSynchCase,Memory,M2MTransformation1,4
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1494821904,BasicXform,3,1,LowSynchCase,PeakMemory,M2MTransformation1,4
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,987798781,BasicXform,3,1,LowSynchCase,AverageMemory,M2MTransformation1,4
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,145882,BasicXform,3,1,LowSynchCase,Time,Modification,5
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,499608000,BasicXform,3,1,LowSynchCase,Memory,Modification,5
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1898538194,BasicXform,3,1,LowSynchCase,Time,M2MTransformation2,6
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,499630320,BasicXform,3,1,LowSynchCase,Memory,M2MTransformation2,6
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1876625320,BasicXform,3,1,LowSynchCase,PeakMemory,M2MTransformation2,6
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1167253096,BasicXform,3,1,LowSynchCase,AverageMemory,M2MTransformation2,6
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,176813,BasicXform,3,2,LowSynchCase,Time,Modification,7
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,499636392,BasicXform,3,2,LowSynchCase,Memory,Modification,7
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1709558991,BasicXform,3,2,LowSynchCase,Time,M2MTransformation2,8
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,499658544,BasicXform,3,2,LowSynchCase,Memory,M2MTransformation2,8
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1861184408,BasicXform,3,2,LowSynchCase,PeakMemory,M2MTransformation2,8
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1187287322,BasicXform,3,2,LowSynchCase,AverageMemory,M2MTransformation2,8
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,159115,BasicXform,3,3,LowSynchCase,Time,Modification,9
