Iteration,MetricValue,Size,Sequence,Tool,PhaseName,MetricName,Scenario,RunIndex,CaseName
1,402542,64,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,Time,BasicXform,3,LowSynchCase
1,11177488,64,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,Memory,BasicXform,3,LowSynchCase
1,4039622797,64,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,Time,BasicXform,3,LowSynchCase
1,307442424,64,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,Memory,BasicXform,3,LowSynchCase
1,779146019,64,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,Time,BasicXform,3,LowSynchCase
1,270440416,64,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,Memory,BasicXform,3,LowSynchCase
1,616929880,64,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,PeakMemory,BasicXform,3,LowSynchCase
1,349124648,64,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,AverageMemory,BasicXform,3,LowSynchCase
1,1321401911,64,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,Time,BasicXform,3,LowSynchCase
1,500859984,64,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,Memory,BasicXform,3,LowSynchCase
1,1010052949,64,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,AverageMemory,BasicXform,3,LowSynchCase
1,1507868672,64,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,PeakMemory,BasicXform,3,LowSynchCase
1,158426,64,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,3,LowSynchCase
1,500864248,64,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,3,LowSynchCase
1,2013282690,64,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,3,LowSynchCase
1,500886592,64,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,3,LowSynchCase
1,1340902683,64,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,3,LowSynchCase
1,1928929112,64,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,3,LowSynchCase
