Size,CaseName,Iteration,Scenario,Tool,MetricName,PhaseName,Sequence,MetricValue,RunIndex
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,EMFResourceInitialization,1,293527,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,EMFResourceInitialization,1,11186304,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Generation,2,3700024592,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Generation,2,306244144,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Initialization,3,753772216,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Initialization,3,253845080,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,Initialization,3,559540936,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,Initialization,3,320211344,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation1,4,1369838187,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation1,4,484074288,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation1,4,971614858,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation1,4,1478275320,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,5,214408,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,5,484018312,3
64,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,6,2194863493,3
