MetricValue,Tool,MetricName,Iteration,Sequence,RunIndex,CaseName,Size,Scenario,PhaseName
298333,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,1,3,LowSynchCase,64,BasicXform,EMFResourceInitialization
11172152,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,1,3,LowSynchCase,64,BasicXform,EMFResourceInitialization
3316055670,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,2,3,LowSynchCase,64,BasicXform,Generation
307835592,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,2,3,LowSynchCase,64,BasicXform,Generation
736422828,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,3,3,LowSynchCase,64,BasicXform,Initialization
253895192,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,3,3,LowSynchCase,64,BasicXform,Initialization
320197948,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,3,3,LowSynchCase,64,BasicXform,Initialization
559521304,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,3,3,LowSynchCase,64,BasicXform,Initialization
1337860527,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,4,3,LowSynchCase,64,BasicXform,M2MTransformation1
484232688,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,4,3,LowSynchCase,64,BasicXform,M2MTransformation1
1478291376,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,4,3,LowSynchCase,64,BasicXform,M2MTransformation1
985718432,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,4,3,LowSynchCase,64,BasicXform,M2MTransformation1
159688,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,5,3,LowSynchCase,64,BasicXform,Modification
484237728,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,5,3,LowSynchCase,64,BasicXform,Modification
1738638879,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,6,3,LowSynchCase,64,BasicXform,M2MTransformation2
484260072,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,6,3,LowSynchCase,64,BasicXform,M2MTransformation2
1165456202,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,6,3,LowSynchCase,64,BasicXform,M2MTransformation2
1903525952,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,6,3,LowSynchCase,64,BasicXform,M2MTransformation2
230896,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,2,7,3,LowSynchCase,64,BasicXform,Modification
484265184,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,2,7,3,LowSynchCase,64,BasicXform,Modification
1694919251,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,2,8,3,LowSynchCase,64,BasicXform,M2MTransformation2
484287160,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,2,8,3,LowSynchCase,64,BasicXform,M2MTransformation2
1845365280,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,2,8,3,LowSynchCase,64,BasicXform,M2MTransformation2
1171689818,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,2,8,3,LowSynchCase,64,BasicXform,M2MTransformation2
130117,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,3,9,3,LowSynchCase,64,BasicXform,Modification
484292456,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,3,9,3,LowSynchCase,64,BasicXform,Modification
1677522566,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,3,10,3,LowSynchCase,64,BasicXform,M2MTransformation2
484314576,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,3,10,3,LowSynchCase,64,BasicXform,M2MTransformation2
1193928314,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,3,10,3,LowSynchCase,64,BasicXform,M2MTransformation2
1919219664,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,3,10,3,LowSynchCase,64,BasicXform,M2MTransformation2
103742,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,11,3,LowSynchCase,64,BasicXform,Modification
484320008,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,11,3,LowSynchCase,64,BasicXform,Modification
1686513044,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,12,3,LowSynchCase,64,BasicXform,M2MTransformation2
484342720,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,12,3,LowSynchCase,64,BasicXform,M2MTransformation2
1870326384,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,4,12,3,LowSynchCase,64,BasicXform,M2MTransformation2
1190911944,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,4,12,3,LowSynchCase,64,BasicXform,M2MTransformation2
116495,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,13,3,LowSynchCase,64,BasicXform,Modification
484348312,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,13,3,LowSynchCase,64,BasicXform,Modification
1680907594,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,14,3,LowSynchCase,64,BasicXform,M2MTransformation2
484370288,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,14,3,LowSynchCase,64,BasicXform,M2MTransformation2
1866936320,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,5,14,3,LowSynchCase,64,BasicXform,M2MTransformation2
1189104904,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,5,14,3,LowSynchCase,64,BasicXform,M2MTransformation2
455208,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,1,2,LowSynchCase,128,BasicXform,EMFResourceInitialization
11183776,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,1,2,LowSynchCase,128,BasicXform,EMFResourceInitialization
7960515034,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,2,2,LowSynchCase,128,BasicXform,Generation
671095064,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,2,2,LowSynchCase,128,BasicXform,Generation
2287936084,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,3,2,LowSynchCase,128,BasicXform,Initialization
594229856,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,3,2,LowSynchCase,128,BasicXform,Initialization
758389454,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,3,2,LowSynchCase,128,BasicXform,Initialization
1269924296,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,3,2,LowSynchCase,128,BasicXform,Initialization
3490556469,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,4,2,LowSynchCase,128,BasicXform,M2MTransformation1
1122489408,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,4,2,LowSynchCase,128,BasicXform,M2MTransformation1
3151153632,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,4,2,LowSynchCase,128,BasicXform,M2MTransformation1
1457708521,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,4,2,LowSynchCase,128,BasicXform,M2MTransformation1
232547,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,5,2,LowSynchCase,128,BasicXform,Modification
1122494984,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,5,2,LowSynchCase,128,BasicXform,Modification
4710562009,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,6,2,LowSynchCase,128,BasicXform,M2MTransformation2
1122517768,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,6,2,LowSynchCase,128,BasicXform,M2MTransformation2
2688302204,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,6,2,LowSynchCase,128,BasicXform,M2MTransformation2
4212073728,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,6,2,LowSynchCase,128,BasicXform,M2MTransformation2
178877,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,2,7,2,LowSynchCase,128,BasicXform,Modification
1122523400,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,2,7,2,LowSynchCase,128,BasicXform,Modification
4157349620,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,2,8,2,LowSynchCase,128,BasicXform,M2MTransformation2
1122545416,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,2,8,2,LowSynchCase,128,BasicXform,M2MTransformation2
2750680436,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,2,8,2,LowSynchCase,128,BasicXform,M2MTransformation2
4318018624,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,2,8,2,LowSynchCase,128,BasicXform,M2MTransformation2
144589,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,3,9,2,LowSynchCase,128,BasicXform,Modification
1122551264,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,3,9,2,LowSynchCase,128,BasicXform,Modification
4156717438,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,3,10,2,LowSynchCase,128,BasicXform,M2MTransformation2
1122573392,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,3,10,2,LowSynchCase,128,BasicXform,M2MTransformation2
4240352856,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,3,10,2,LowSynchCase,128,BasicXform,M2MTransformation2
2723023133,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,3,10,2,LowSynchCase,128,BasicXform,M2MTransformation2
118548,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,11,2,LowSynchCase,128,BasicXform,Modification
1122579344,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,11,2,LowSynchCase,128,BasicXform,Modification
4285273444,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,12,2,LowSynchCase,128,BasicXform,M2MTransformation2
1122601864,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,12,2,LowSynchCase,128,BasicXform,M2MTransformation2
4231662488,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,4,12,2,LowSynchCase,128,BasicXform,M2MTransformation2
2614939614,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,4,12,2,LowSynchCase,128,BasicXform,M2MTransformation2
127404,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,13,2,LowSynchCase,128,BasicXform,Modification
1122608008,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,13,2,LowSynchCase,128,BasicXform,Modification
4485535701,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,14,2,LowSynchCase,128,BasicXform,M2MTransformation2
1122629992,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,14,2,LowSynchCase,128,BasicXform,M2MTransformation2
4225963392,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,5,14,2,LowSynchCase,128,BasicXform,M2MTransformation2
2519118237,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,5,14,2,LowSynchCase,128,BasicXform,M2MTransformation2
226506,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,1,3,LowSynchCase,128,BasicXform,EMFResourceInitialization
11183544,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,1,3,LowSynchCase,128,BasicXform,EMFResourceInitialization
7343963322,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,2,3,LowSynchCase,128,BasicXform,Generation
671096008,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,2,3,LowSynchCase,128,BasicXform,Generation
1726727755,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,3,3,LowSynchCase,128,BasicXform,Initialization
594234408,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,3,3,LowSynchCase,128,BasicXform,Initialization
1264307040,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,3,3,LowSynchCase,128,BasicXform,Initialization
684449621,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,3,3,LowSynchCase,128,BasicXform,Initialization
3658039545,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,4,3,LowSynchCase,128,BasicXform,M2MTransformation1
1122492952,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,4,3,LowSynchCase,128,BasicXform,M2MTransformation1
3154278320,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,4,3,LowSynchCase,128,BasicXform,M2MTransformation1
1452172262,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,4,3,LowSynchCase,128,BasicXform,M2MTransformation1
186388,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,5,3,LowSynchCase,128,BasicXform,Modification
1122498520,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,5,3,LowSynchCase,128,BasicXform,Modification
4781401235,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,6,3,LowSynchCase,128,BasicXform,M2MTransformation2
1122521120,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,6,3,LowSynchCase,128,BasicXform,M2MTransformation2
4186508960,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,6,3,LowSynchCase,128,BasicXform,M2MTransformation2
2591973316,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,6,3,LowSynchCase,128,BasicXform,M2MTransformation2
185989,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,2,7,3,LowSynchCase,128,BasicXform,Modification
1122526752,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,2,7,3,LowSynchCase,128,BasicXform,Modification
3960909415,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,2,8,3,LowSynchCase,128,BasicXform,M2MTransformation2
1122548768,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,2,8,3,LowSynchCase,128,BasicXform,M2MTransformation2
4238602112,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,2,8,3,LowSynchCase,128,BasicXform,M2MTransformation2
2442833191,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,2,8,3,LowSynchCase,128,BasicXform,M2MTransformation2
151429,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,3,9,3,LowSynchCase,128,BasicXform,Modification
1122554616,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,3,9,3,LowSynchCase,128,BasicXform,Modification
3895648310,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,3,10,3,LowSynchCase,128,BasicXform,M2MTransformation2
1122576744,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,3,10,3,LowSynchCase,128,BasicXform,M2MTransformation2
4166082432,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,3,10,3,LowSynchCase,128,BasicXform,M2MTransformation2
2464191663,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,3,10,3,LowSynchCase,128,BasicXform,M2MTransformation2
161315,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,11,3,LowSynchCase,128,BasicXform,Modification
1122582728,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,11,3,LowSynchCase,128,BasicXform,Modification
3919603209,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,4,12,3,LowSynchCase,128,BasicXform,M2MTransformation2
1122605216,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,4,12,3,LowSynchCase,128,BasicXform,M2MTransformation2
2461866819,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,4,12,3,LowSynchCase,128,BasicXform,M2MTransformation2
4160772744,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,4,12,3,LowSynchCase,128,BasicXform,M2MTransformation2
147087,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,13,3,LowSynchCase,128,BasicXform,Modification
1122611360,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,13,3,LowSynchCase,128,BasicXform,Modification
3940195251,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,5,14,3,LowSynchCase,128,BasicXform,M2MTransformation2
1122633344,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,5,14,3,LowSynchCase,128,BasicXform,M2MTransformation2
4157293200,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,5,14,3,LowSynchCase,128,BasicXform,M2MTransformation2
2460348989,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,5,14,3,LowSynchCase,128,BasicXform,M2MTransformation2
1012632,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,1,1,LowSynchCase,128,BasicXform,EMFResourceInitialization
11183096,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,1,1,LowSynchCase,128,BasicXform,EMFResourceInitialization
7476973113,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,2,1,LowSynchCase,128,BasicXform,Generation
671094712,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,2,1,LowSynchCase,128,BasicXform,Generation
1699998411,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,3,1,LowSynchCase,128,BasicXform,Initialization
594229320,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,3,1,LowSynchCase,128,BasicXform,Initialization
669646226,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,1,3,1,LowSynchCase,128,BasicXform,Initialization
1220419456,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,1,3,1,LowSynchCase,128,BasicXform,Initialization
3882638254,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,1,4,1,LowSynchCase,128,BasicXform,M2MTransformation1
1122489688,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,1,4,1,LowSynchCase,128,BasicXform,M2MTransformation1
