PhaseName,Sequence,MetricValue,MetricName,Tool,Iteration,CaseName,RunIndex,Size,Scenario
EMFResourceInitialization,1,203099,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
EMFResourceInitialization,1,11530064,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
Generation,2,9051495445,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
Generation,2,334647904,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
Initialization,3,1204441312,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
Initialization,3,216280504,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
Initialization,3,616908216,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
Initialization,3,1001035616,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
M2MTransformation1,4,300508638,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
M2MTransformation1,4,253774032,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
M2MTransformation1,4,365626848,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
M2MTransformation1,4,493777992,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
Modification,5,738218,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
Modification,5,253791240,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,6,547523956,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,6,253803584,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,6,424473944,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,6,552485424,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,32,BasicXform
Modification,7,491524,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,3,32,BasicXform
Modification,7,253819008,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,3,32,BasicXform
M2MTransformation2,8,515848138,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,3,32,BasicXform
