Scenario,MetricName,Tool,RunIndex,Sequence,Size,MetricValue,PhaseName,Iteration,CaseName
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,1,32,377289,EMFResourceInitialization,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,1,32,11493120,EMFResourceInitialization,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,2,32,13500578640,Generation,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,2,32,772570608,Generation,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,3,32,1140423879,Initialization,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,3,32,324066912,Initialization,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,3,32,625316280,Initialization,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,3,32,956757800,Initialization,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,4,32,264031013,M2MTransformation1,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,4,32,361875128,M2MTransformation1,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,4,32,468504084,M2MTransformation1,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,4,32,555166056,M2MTransformation1,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,5,32,698095,Modification,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,5,32,361917792,Modification,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,6,32,314916810,M2MTransformation2,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,6,32,361933552,M2MTransformation2,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,6,32,521805524,M2MTransformation2,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,6,32,617737784,M2MTransformation2,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,7,32,422604,Modification,2,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,7,32,361946256,Modification,2,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,8,32,293547836,M2MTransformation2,2,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,8,32,361959984,M2MTransformation2,2,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,8,32,618937248,M2MTransformation2,2,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,8,32,522565888,M2MTransformation2,2,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,9,32,334975,Modification,3,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,9,32,361973784,Modification,3,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,10,32,278201084,M2MTransformation2,3,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,10,32,361987640,M2MTransformation2,3,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,10,32,618964664,M2MTransformation2,3,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,10,32,522593360,M2MTransformation2,3,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,11,32,375922,Modification,4,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,11,32,362001624,Modification,4,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,12,32,274931410,M2MTransformation2,4,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,12,32,362015584,M2MTransformation2,4,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,12,32,522621188,M2MTransformation2,4,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,12,32,618992456,M2MTransformation2,4,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,13,32,347755,Modification,5,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,13,32,362029728,Modification,5,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,14,32,275231276,M2MTransformation2,5,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,14,32,362043424,M2MTransformation2,5,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,14,32,619020752,M2MTransformation2,5,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,14,32,522649376,M2MTransformation2,5,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,1,64,610429,EMFResourceInitialization,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,1,64,11858040,EMFResourceInitialization,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,2,64,82870845545,Generation,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,2,64,3398601416,Generation,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,3,64,7918317271,Initialization,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,3,64,1645334712,Initialization,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,3,64,3187566384,Initialization,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,3,64,1554691270,Initialization,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,4,64,588371796,M2MTransformation1,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,4,64,1738008760,M2MTransformation1,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,4,64,1904513760,M2MTransformation1,1,StatisticBasedCase
