Iteration,Tool,Size,Scenario,RunIndex,PhaseName,Sequence,MetricValue,CaseName,MetricName
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,EMFResourceInitialization,1,418418,LowSynchCase,Time
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,EMFResourceInitialization,1,11239864,LowSynchCase,Memory
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Generation,2,31317070727,LowSynchCase,Time
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Generation,2,2486621528,LowSynchCase,Memory
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Initialization,3,13325286511,LowSynchCase,Time
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Initialization,3,3762862944,LowSynchCase,Memory
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Initialization,3,2454394347,LowSynchCase,AverageMemory
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Initialization,3,6040479048,LowSynchCase,PeakMemory
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation1,4,412519354105,LowSynchCase,Time
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation1,4,6379627712,LowSynchCase,Memory
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation1,4,6054644162,LowSynchCase,AverageMemory
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation1,4,8633126160,LowSynchCase,PeakMemory
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Modification,5,352019828,LowSynchCase,Time
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Modification,5,6585190288,LowSynchCase,Memory
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation2,6,28364,LowSynchCase,Time
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation2,6,6585190832,LowSynchCase,Memory
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation2,6,6608896528,LowSynchCase,AverageMemory
1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation2,6,6608896528,LowSynchCase,PeakMemory
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Modification,7,1456942,LowSynchCase,Time
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Modification,7,6585237216,LowSynchCase,Memory
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation2,8,14780,LowSynchCase,Time
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation2,8,6585238352,LowSynchCase,Memory
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation2,8,6430891420,LowSynchCase,AverageMemory
2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation2,8,6608943448,LowSynchCase,PeakMemory
3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Modification,9,1417365,LowSynchCase,Time
3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Modification,9,6585284464,LowSynchCase,Memory
3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation2,10,14742,LowSynchCase,Time
3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation2,10,6585285032,LowSynchCase,Memory
3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation2,10,6608990696,LowSynchCase,PeakMemory
3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,M2MTransformation2,10,6685218348,LowSynchCase,AverageMemory
4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Modification,11,1602761,LowSynchCase,Time
4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,512,BasicXform,1,Modification,11,6585332264,LowSynchCase,Memory
