Sequence,RunIndex,CaseName,Size,Scenario,MetricName,Tool,MetricValue,Iteration,PhaseName
1,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,995267,1,EMFResourceInitialization
1,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11154896,1,EMFResourceInitialization
2,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,997945989,1,Generation
2,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,62092792,1,Generation
3,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7441392,1,Initialization
3,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12246768,1,Initialization
3,1,StatisticBasedCase,8,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,22980572,1,Initialization
3,1,StatisticBasedCase,8,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,33714176,1,Initialization
4,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,833009390,1,M2MTransformation1
4,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,17802760,1,M2MTransformation1
4,1,StatisticBasedCase,8,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,248586160,1,M2MTransformation1
4,1,StatisticBasedCase,8,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,463439696,1,M2MTransformation1
5,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,231755,1,Modification
5,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,17803504,1,Modification
6,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,380303680,1,M2MTransformation2
6,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,18842552,1,M2MTransformation2
6,1,StatisticBasedCase,8,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,404544728,1,M2MTransformation2
6,1,StatisticBasedCase,8,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,221917056,1,M2MTransformation2
7,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,185098,2,Modification
7,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,18843344,2,Modification
8,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,375281987,2,M2MTransformation2
8,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,18860728,2,M2MTransformation2
8,1,StatisticBasedCase,8,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,222954844,2,M2MTransformation2
8,1,StatisticBasedCase,8,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,405580464,2,M2MTransformation2
9,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,166682,3,Modification
9,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,18861440,3,Modification
10,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,376307364,3,M2MTransformation2
10,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,18872768,3,M2MTransformation2
10,1,StatisticBasedCase,8,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,405598480,3,M2MTransformation2
10,1,StatisticBasedCase,8,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,222972900,3,M2MTransformation2
11,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,181125,4,Modification
11,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,18873504,4,Modification
12,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,373282165,4,M2MTransformation2
12,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,18882928,4,M2MTransformation2
12,1,StatisticBasedCase,8,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,427096240,4,M2MTransformation2
12,1,StatisticBasedCase,8,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,233727824,4,M2MTransformation2
13,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,188710,5,Modification
13,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,18883744,5,Modification
14,1,StatisticBasedCase,8,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,374206710,5,M2MTransformation2
14,1,StatisticBasedCase,8,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,18892880,5,M2MTransformation2
14,1,StatisticBasedCase,8,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,427106352,5,M2MTransformation2
14,1,StatisticBasedCase,8,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,233737988,5,M2MTransformation2
1,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,364728,1,EMFResourceInitialization
1,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,11089296,1,EMFResourceInitialization
2,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,2895311332,1,Generation
2,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,203057248,1,Generation
3,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,11819,1,Initialization
3,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,13770576,1,Initialization
3,2,StatisticBasedCase,16,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,44065080,1,Initialization
3,2,StatisticBasedCase,16,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,67019352,1,Initialization
4,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,35531622205,1,M2MTransformation1
4,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,17667800,1,M2MTransformation1
4,2,StatisticBasedCase,16,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,2694181416,1,M2MTransformation1
4,2,StatisticBasedCase,16,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,1040219204,1,M2MTransformation1
5,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,266325,1,Modification
5,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,17668208,1,Modification
6,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,35645751082,1,M2MTransformation2
6,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,18709760,1,M2MTransformation2
6,2,StatisticBasedCase,16,BasicXform,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,952185323,1,M2MTransformation2
6,2,StatisticBasedCase,16,BasicXform,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,2452286192,1,M2MTransformation2
7,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,226003,2,Modification
7,2,StatisticBasedCase,16,BasicXform,Memory,BATCH_OPTIMIZED-TEMPLATE,18710136,2,Modification
8,2,StatisticBasedCase,16,BasicXform,Time,BATCH_OPTIMIZED-TEMPLATE,36082409554,2,M2MTransformation2
