PhaseName,Scenario,RunIndex,Sequence,Iteration,Size,MetricValue,Tool,CaseName,MetricName
EMFResourceInitialization,BasicXform,1,1,1,8,419222,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
EMFResourceInitialization,BasicXform,1,1,1,8,11170728,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
Generation,BasicXform,1,2,1,8,863777873,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Generation,BasicXform,1,2,1,8,61083936,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
Initialization,BasicXform,1,3,1,8,55114501,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Initialization,BasicXform,1,3,1,8,12717216,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
Initialization,BasicXform,1,3,1,8,33730560,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Initialization,BasicXform,1,3,1,8,33730560,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation1,BasicXform,1,4,1,8,583167768,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation1,BasicXform,1,4,1,8,17676600,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation1,BasicXform,1,4,1,8,442425008,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
M2MTransformation1,BasicXform,1,4,1,8,238314040,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
Modification,BasicXform,1,5,1,8,196355,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,1,5,1,8,17677360,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,6,1,8,448806218,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,1,6,1,8,17686712,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,6,1,8,232531512,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,1,6,1,8,425899784,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,1,7,2,8,204731,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,1,7,2,8,17687440,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,8,2,8,433254507,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,1,8,2,8,17704600,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,8,2,8,425913960,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
M2MTransformation2,BasicXform,1,8,2,8,232543640,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
Modification,BasicXform,1,9,3,8,219243,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,1,9,3,8,17705328,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,10,3,8,382323764,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,1,10,3,8,17714272,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,10,3,8,232560436,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,1,10,3,8,425929664,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,1,11,4,8,164644,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,1,11,4,8,17715024,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,12,4,8,384146292,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,1,12,4,8,17724328,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,12,4,8,425937672,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
M2MTransformation2,BasicXform,1,12,4,8,232569300,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
Modification,BasicXform,1,13,5,8,173778,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,1,13,5,8,17725080,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,14,5,8,384413357,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,1,14,5,8,17734048,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,14,5,8,243321928,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,1,14,5,8,447432896,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
EMFResourceInitialization,BasicXform,2,1,1,16,258769,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
EMFResourceInitialization,BasicXform,2,1,1,16,11102736,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
Generation,BasicXform,2,2,1,16,2926279350,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
Generation,BasicXform,2,2,1,16,202290584,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
Initialization,BasicXform,2,3,1,16,22384,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
Initialization,BasicXform,2,3,1,16,13784312,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
Initialization,BasicXform,2,3,1,16,67051720,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,PeakMemory
Initialization,BasicXform,2,3,1,16,44088132,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation1,BasicXform,2,4,1,16,35813618182,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
M2MTransformation1,BasicXform,2,4,1,16,17681528,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation1,BasicXform,2,4,1,16,966425895,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation1,BasicXform,2,4,1,16,2695225560,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,2,5,1,16,312846,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,2,5,1,16,17681936,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,6,1,16,36378028092,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,2,6,1,16,18724392,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,6,1,16,1007940760,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,2,6,1,16,2453170352,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,2,7,2,16,289813,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,2,7,2,16,18724768,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,8,2,16,36101016520,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,2,8,2,16,19670640,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,Memory
