Size,MetricName,Sequence,Iteration,Tool,Scenario,PhaseName,RunIndex,MetricValue,CaseName
16,Time,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,EMFResourceInitialization,1,274151,StatisticBasedCase
16,Memory,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,EMFResourceInitialization,1,11254544,StatisticBasedCase
16,Time,2,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,Generation,1,3144411674,StatisticBasedCase
16,Memory,2,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,Generation,1,208442560,StatisticBasedCase
16,Time,3,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,Initialization,1,158442944,StatisticBasedCase
16,Memory,3,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,Initialization,1,21888696,StatisticBasedCase
16,PeakMemory,3,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,Initialization,1,98190400,StatisticBasedCase
16,AverageMemory,3,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,Initialization,1,77126760,StatisticBasedCase
16,Time,4,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,M2MTransformation1,1,1272449129,StatisticBasedCase
16,Memory,4,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,M2MTransformation1,1,30642040,StatisticBasedCase
16,PeakMemory,4,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,M2MTransformation1,1,1327835848,StatisticBasedCase
16,AverageMemory,4,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,M2MTransformation1,1,808265586,StatisticBasedCase
16,Time,5,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,Modification,1,329944,StatisticBasedCase
16,Memory,5,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,Modification,1,30642832,StatisticBasedCase
16,Time,6,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,M2MTransformation2,1,1236345354,StatisticBasedCase
16,Memory,6,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,M2MTransformation2,1,30658832,StatisticBasedCase
16,AverageMemory,6,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,M2MTransformation2,1,827571168,StatisticBasedCase
16,PeakMemory,6,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,M2MTransformation2,1,1330895512,StatisticBasedCase
16,Time,7,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,Modification,1,291058,StatisticBasedCase
