PhaseName,MetricName,Size,MetricValue,Sequence,Scenario,RunIndex,Tool,Iteration,CaseName
EMFResourceInitialization,Time,16,650536,1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
EMFResourceInitialization,Memory,16,11293168,1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Generation,Time,16,3830272795,2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Generation,Memory,16,202904056,2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Initialization,Time,16,226495645,3,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Initialization,Memory,16,21616016,3,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Initialization,PeakMemory,16,99929736,3,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Initialization,AverageMemory,16,78444416,3,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,Time,16,474016957,4,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,Memory,16,28184928,4,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,AverageMemory,16,193499228,4,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,PeakMemory,16,322411280,4,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Modification,Time,16,381083,5,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Modification,Memory,16,28184920,5,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,Time,16,350183656,6,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,Memory,16,28217256,6,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,PeakMemory,16,328979952,6,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,AverageMemory,16,200068024,6,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Modification,Time,16,374118,7,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase
Modification,Memory,16,28218024,7,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,Time,16,331307550,8,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,Memory,16,28225384,8,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,PeakMemory,16,329013064,8,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,AverageMemory,16,200101132,8,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase
Modification,Time,16,379390,9,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase
Modification,Memory,16,28226152,9,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase
M2MTransformation2,Time,16,281591524,10,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase
M2MTransformation2,Memory,16,28232928,10,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase
M2MTransformation2,PeakMemory,16,329021192,10,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase
M2MTransformation2,AverageMemory,16,200109260,10,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase
Modification,Time,16,337079,11,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase
Modification,Memory,16,28233720,11,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase
M2MTransformation2,Time,16,272100287,12,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase
M2MTransformation2,Memory,16,28240784,12,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase
M2MTransformation2,AverageMemory,16,200116836,12,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase
M2MTransformation2,PeakMemory,16,329028752,12,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase
Modification,Time,16,306618,13,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase
Modification,Memory,16,28241576,13,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,Time,16,268921723,14,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,Memory,16,28248304,14,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,AverageMemory,16,200124776,14,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,PeakMemory,16,329036800,14,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase
EMFResourceInitialization,Time,16,298412,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
EMFResourceInitialization,Memory,16,11140224,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
Generation,Time,16,4166351192,2,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
Generation,Memory,16,202329824,2,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
Initialization,Time,16,13873,3,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
Initialization,Memory,16,13843384,3,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
Initialization,AverageMemory,16,35158820,3,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
Initialization,PeakMemory,16,56474056,3,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,Time,16,35482194284,4,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,Memory,16,17740232,4,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,AverageMemory,16,1416798433,4,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,PeakMemory,16,3330273208,4,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
Modification,Time,16,388195,5,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
Modification,Memory,16,17740648,5,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,Time,16,34289054214,6,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,Memory,16,18783400,6,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,AverageMemory,16,954775864,6,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,PeakMemory,16,3273686768,6,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase
Modification,Time,16,288591,7,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase
Modification,Memory,16,18783784,7,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,Time,16,34797111802,8,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,Memory,16,19729792,8,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,AverageMemory,16,1296770866,8,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,PeakMemory,16,3266214040,8,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase
Modification,Time,16,288233,9,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,3,StatisticBasedCase
Modification,Memory,16,19730176,9,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,3,StatisticBasedCase
M2MTransformation2,Time,16,34969963328,10,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,3,StatisticBasedCase
M2MTransformation2,Memory,16,20874592,10,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,3,StatisticBasedCase
M2MTransformation2,AverageMemory,16,1293318226,10,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,3,StatisticBasedCase
M2MTransformation2,PeakMemory,16,3263269280,10,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,3,StatisticBasedCase
Modification,Time,16,268579,11,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,4,StatisticBasedCase
Modification,Memory,16,20875000,11,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,4,StatisticBasedCase
M2MTransformation2,Time,16,34103364155,12,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,4,StatisticBasedCase
M2MTransformation2,Memory,16,21824616,12,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,4,StatisticBasedCase
M2MTransformation2,PeakMemory,16,3254876512,12,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,4,StatisticBasedCase
M2MTransformation2,AverageMemory,16,986895631,12,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,4,StatisticBasedCase
Modification,Time,16,255225,13,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,5,StatisticBasedCase
Modification,Memory,16,21825024,13,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,Time,16,34727223952,14,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,Memory,16,22776048,14,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,AverageMemory,16,1065530377,14,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,PeakMemory,16,3249035344,14,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,5,StatisticBasedCase
EMFResourceInitialization,Time,1,178458,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
EMFResourceInitialization,Memory,1,11124200,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Generation,Time,1,92590692,2,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Generation,Memory,1,12858936,2,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Initialization,Time,1,120988570,3,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Initialization,Memory,1,13337496,3,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Initialization,AverageMemory,1,32721120,3,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Initialization,PeakMemory,1,32721120,3,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,Time,1,72389677,4,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,Memory,1,13668440,4,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,PeakMemory,1,34823360,4,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,AverageMemory,1,34823360,4,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Modification,Time,1,111692,5,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Modification,Memory,1,13669184,5,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,Time,1,61761520,6,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,Memory,1,13676824,6,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,PeakMemory,1,35155064,6,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,AverageMemory,1,35155064,6,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase
Modification,Time,1,139398,7,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase
Modification,Memory,1,13677568,7,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,Time,1,52334965,8,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase
