MetricName,RunIndex,CaseName,PhaseName,MetricValue,Scenario,Sequence,Size,Iteration,Tool
Time,1,StatisticBasedCase,EMFResourceInitialization,348560,BasicXform,1,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,EMFResourceInitialization,11311264,BasicXform,1,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,Generation,5548796829,BasicXform,2,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,Generation,195154728,BasicXform,2,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,Initialization,209451568,BasicXform,3,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,Initialization,21634208,BasicXform,3,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,1,StatisticBasedCase,Initialization,78462520,BasicXform,3,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,1,StatisticBasedCase,Initialization,99947840,BasicXform,3,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,M2MTransformation1,480444965,BasicXform,4,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,M2MTransformation1,28214784,BasicXform,4,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,1,StatisticBasedCase,M2MTransformation1,193517444,BasicXform,4,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,1,StatisticBasedCase,M2MTransformation1,322429504,BasicXform,4,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,Modification,360892,BasicXform,5,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,Modification,28214768,BasicXform,5,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,M2MTransformation2,349985005,BasicXform,6,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,1,StatisticBasedCase,M2MTransformation2,28263720,BasicXform,6,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,1,StatisticBasedCase,M2MTransformation2,200097916,BasicXform,6,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
