Size,RunIndex,Tool,MetricName,PhaseName,CaseName,Scenario,Sequence,Iteration,MetricValue
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,EMFResourceInitialization,StatisticBasedCase,BasicXform,1,1,673445
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Memory,EMFResourceInitialization,StatisticBasedCase,BasicXform,1,1,11285488
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,Generation,StatisticBasedCase,BasicXform,2,1,3252981171
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Memory,Generation,StatisticBasedCase,BasicXform,2,1,209258608
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,Initialization,StatisticBasedCase,BasicXform,3,1,209209574
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Memory,Initialization,StatisticBasedCase,BasicXform,3,1,21604528
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,AverageMemory,Initialization,StatisticBasedCase,BasicXform,3,1,78437188
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,PeakMemory,Initialization,StatisticBasedCase,BasicXform,3,1,99922504
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,M2MTransformation1,StatisticBasedCase,BasicXform,4,1,468026566
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Memory,M2MTransformation1,StatisticBasedCase,BasicXform,4,1,28184024
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,PeakMemory,M2MTransformation1,StatisticBasedCase,BasicXform,4,1,322398472
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,AverageMemory,M2MTransformation1,StatisticBasedCase,BasicXform,4,1,193486568
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,Modification,StatisticBasedCase,BasicXform,5,1,396197
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Memory,Modification,StatisticBasedCase,BasicXform,5,1,28184024
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,BasicXform,6,1,345848440
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,BasicXform,6,1,28231704
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,BasicXform,6,1,200067156
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,BasicXform,6,1,328979128
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,Modification,StatisticBasedCase,BasicXform,7,2,385620
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Memory,Modification,StatisticBasedCase,BasicXform,7,2,28232472
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,BasicXform,8,2,323667532
16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,BasicXform,8,2,28239672
