MetricName,Iteration,Size,Scenario,PhaseName,CaseName,MetricValue,RunIndex,Tool,Sequence
Time,1,16,BasicXform,EMFResourceInitialization,StatisticBasedCase,326541,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Memory,1,16,BasicXform,EMFResourceInitialization,StatisticBasedCase,11349592,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Time,1,16,BasicXform,Generation,StatisticBasedCase,3225576866,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2
Memory,1,16,BasicXform,Generation,StatisticBasedCase,200594632,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2
Time,1,16,BasicXform,Initialization,StatisticBasedCase,169106295,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3
Memory,1,16,BasicXform,Initialization,StatisticBasedCase,21895592,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3
PeakMemory,1,16,BasicXform,Initialization,StatisticBasedCase,119603680,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3
AverageMemory,1,16,BasicXform,Initialization,StatisticBasedCase,87845432,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3
Time,1,16,BasicXform,M2MTransformation1,StatisticBasedCase,329970313,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4
Memory,1,16,BasicXform,M2MTransformation1,StatisticBasedCase,28521200,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4
PeakMemory,1,16,BasicXform,M2MTransformation1,StatisticBasedCase,337662528,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4
AverageMemory,1,16,BasicXform,M2MTransformation1,StatisticBasedCase,190062752,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4
Time,1,16,BasicXform,Modification,StatisticBasedCase,309810,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5
Memory,1,16,BasicXform,Modification,StatisticBasedCase,28521592,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5
Time,1,16,BasicXform,M2MTransformation2,StatisticBasedCase,291847665,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6
Memory,1,16,BasicXform,M2MTransformation2,StatisticBasedCase,28530584,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6
AverageMemory,1,16,BasicXform,M2MTransformation2,StatisticBasedCase,196688904,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6
PeakMemory,1,16,BasicXform,M2MTransformation2,StatisticBasedCase,322813824,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6
Time,2,16,BasicXform,Modification,StatisticBasedCase,260281,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,7
Memory,2,16,BasicXform,Modification,StatisticBasedCase,28529768,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,7
Time,2,16,BasicXform,M2MTransformation2,StatisticBasedCase,274180812,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8
Memory,2,16,BasicXform,M2MTransformation2,StatisticBasedCase,28538008,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8
AverageMemory,2,16,BasicXform,M2MTransformation2,StatisticBasedCase,196697132,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8
PeakMemory,2,16,BasicXform,M2MTransformation2,StatisticBasedCase,322822104,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8
Time,3,16,BasicXform,Modification,StatisticBasedCase,198182,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,9
Memory,3,16,BasicXform,Modification,StatisticBasedCase,28538184,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,9
Time,3,16,BasicXform,M2MTransformation2,StatisticBasedCase,251339611,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10
Memory,3,16,BasicXform,M2MTransformation2,StatisticBasedCase,28545712,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10
AverageMemory,3,16,BasicXform,M2MTransformation2,StatisticBasedCase,196705516,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10
PeakMemory,3,16,BasicXform,M2MTransformation2,StatisticBasedCase,322830456,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10
Time,4,16,BasicXform,Modification,StatisticBasedCase,182387,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,11
Memory,4,16,BasicXform,Modification,StatisticBasedCase,28545912,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,11
Time,4,16,BasicXform,M2MTransformation2,StatisticBasedCase,243571998,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12
Memory,4,16,BasicXform,M2MTransformation2,StatisticBasedCase,28553680,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12
