Size,Tool,PhaseName,MetricName,Sequence,RunIndex,CaseName,MetricValue,Iteration,Scenario
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,EMFResourceInitialization,Time,1,1,StatisticBasedCase,248213,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,EMFResourceInitialization,Memory,1,1,StatisticBasedCase,11381416,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Generation,Time,2,1,StatisticBasedCase,3936296089,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Generation,Memory,2,1,StatisticBasedCase,189936440,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Initialization,Time,3,1,StatisticBasedCase,223692346,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Initialization,Memory,3,1,StatisticBasedCase,21930664,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Initialization,AverageMemory,3,1,StatisticBasedCase,88362820,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Initialization,PeakMemory,3,1,StatisticBasedCase,141757336,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation1,Time,4,1,StatisticBasedCase,446049822,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation1,Memory,4,1,StatisticBasedCase,28552224,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation1,PeakMemory,4,1,StatisticBasedCase,339957344,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation1,AverageMemory,4,1,StatisticBasedCase,191389108,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Time,5,1,StatisticBasedCase,413958,1,BasicXform
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Memory,5,1,StatisticBasedCase,28551592,1,BasicXform
