Sequence,CaseName,Scenario,Size,PhaseName,Tool,Iteration,RunIndex,MetricValue,MetricName
1,StatisticBasedCase,BasicXform,16,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,232426,Time
1,StatisticBasedCase,BasicXform,16,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,11365656,Memory
2,StatisticBasedCase,BasicXform,16,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,3930219343,Time
2,StatisticBasedCase,BasicXform,16,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,193734480,Memory
3,StatisticBasedCase,BasicXform,16,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,176206080,Time
3,StatisticBasedCase,BasicXform,16,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,21909152,Memory
3,StatisticBasedCase,BasicXform,16,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,120224632,PeakMemory
3,StatisticBasedCase,BasicXform,16,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,88314908,AverageMemory
4,StatisticBasedCase,BasicXform,16,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,318304975,Time
4,StatisticBasedCase,BasicXform,16,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,28528912,Memory
4,StatisticBasedCase,BasicXform,16,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,191288272,AverageMemory
4,StatisticBasedCase,BasicXform,16,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,339797040,PeakMemory
5,StatisticBasedCase,BasicXform,16,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,337298,Time
5,StatisticBasedCase,BasicXform,16,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,28529304,Memory
6,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,298501983,Time
6,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,28537480,Memory
6,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,324942608,PeakMemory
6,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,197908636,AverageMemory
7,StatisticBasedCase,BasicXform,16,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,1,220103,Time
7,StatisticBasedCase,BasicXform,16,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,1,28537656,Memory
8,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,1,289757851,Time
8,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,1,28546480,Memory
8,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,1,324950752,PeakMemory
8,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,1,197916884,AverageMemory
9,StatisticBasedCase,BasicXform,16,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,1,181506,Time
9,StatisticBasedCase,BasicXform,16,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,1,28545672,Memory
10,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,1,280197976,Time
10,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,1,28554544,Memory
10,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,1,324958784,PeakMemory
10,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,1,197924908,AverageMemory
11,StatisticBasedCase,BasicXform,16,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,1,156747,Time
11,StatisticBasedCase,BasicXform,16,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,1,28553752,Memory
12,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,1,259907632,Time
12,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,1,28562048,Memory
12,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,1,324966896,PeakMemory
12,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,1,197933016,AverageMemory
13,StatisticBasedCase,BasicXform,16,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,1,229391,Time
13,StatisticBasedCase,BasicXform,16,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,1,28562248,Memory
14,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,1,250966289,Time
14,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,1,28569616,Memory
14,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,1,197941504,AverageMemory
14,StatisticBasedCase,BasicXform,16,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,1,324975400,PeakMemory
1,StatisticBasedCase,BasicXform,16,EMFResourceInitialization,BATCH_OPTIMIZED-TEMPLATE,1,2,474706,Time
1,StatisticBasedCase,BasicXform,16,EMFResourceInitialization,BATCH_OPTIMIZED-TEMPLATE,1,2,11213752,Memory
2,StatisticBasedCase,BasicXform,16,Generation,BATCH_OPTIMIZED-TEMPLATE,1,2,3447848872,Time
2,StatisticBasedCase,BasicXform,16,Generation,BATCH_OPTIMIZED-TEMPLATE,1,2,197880736,Memory
