MetricName,MetricValue,PhaseName,Size,Iteration,Tool,RunIndex,Sequence,Scenario,CaseName
Time,161164,EMFResourceInitialization,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,BasicXform,StatisticBasedCase
Memory,11383968,EMFResourceInitialization,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,BasicXform,StatisticBasedCase
Time,4982574091,Generation,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,BasicXform,StatisticBasedCase
Memory,196323712,Generation,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,BasicXform,StatisticBasedCase
Time,173662766,Initialization,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,3,BasicXform,StatisticBasedCase
Memory,21931336,Initialization,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,3,BasicXform,StatisticBasedCase
AverageMemory,87951092,Initialization,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,3,BasicXform,StatisticBasedCase
PeakMemory,119732920,Initialization,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,3,BasicXform,StatisticBasedCase
Time,320825191,M2MTransformation1,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,4,BasicXform,StatisticBasedCase
Memory,28549104,M2MTransformation1,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,4,BasicXform,StatisticBasedCase
PeakMemory,316550896,M2MTransformation1,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,4,BasicXform,StatisticBasedCase
AverageMemory,190285200,M2MTransformation1,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,4,BasicXform,StatisticBasedCase
Time,318139,Modification,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,5,BasicXform,StatisticBasedCase
Memory,28548504,Modification,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,5,BasicXform,StatisticBasedCase
Time,305995010,M2MTransformation2,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,6,BasicXform,StatisticBasedCase
Memory,28557576,M2MTransformation2,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,6,BasicXform,StatisticBasedCase
PeakMemory,323169200,M2MTransformation2,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,6,BasicXform,StatisticBasedCase
AverageMemory,196903508,M2MTransformation2,16,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,6,BasicXform,StatisticBasedCase
Time,228252,Modification,16,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,7,BasicXform,StatisticBasedCase
Memory,28557752,Modification,16,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,7,BasicXform,StatisticBasedCase
Time,300048207,M2MTransformation2,16,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,8,BasicXform,StatisticBasedCase
Memory,28565736,M2MTransformation2,16,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,8,BasicXform,StatisticBasedCase
PeakMemory,323178584,M2MTransformation2,16,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,8,BasicXform,StatisticBasedCase
AverageMemory,196912824,M2MTransformation2,16,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,8,BasicXform,StatisticBasedCase
Time,142151,Modification,16,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,9,BasicXform,StatisticBasedCase
Memory,28565904,Modification,16,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,9,BasicXform,StatisticBasedCase
Time,283819026,M2MTransformation2,16,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,10,BasicXform,StatisticBasedCase
Memory,28573960,M2MTransformation2,16,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,10,BasicXform,StatisticBasedCase
AverageMemory,196920968,M2MTransformation2,16,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,10,BasicXform,StatisticBasedCase
PeakMemory,323186720,M2MTransformation2,16,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,10,BasicXform,StatisticBasedCase
Time,192653,Modification,16,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,11,BasicXform,StatisticBasedCase
Memory,28574160,Modification,16,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,11,BasicXform,StatisticBasedCase
Time,270046492,M2MTransformation2,16,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,12,BasicXform,StatisticBasedCase
Memory,28581936,M2MTransformation2,16,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,12,BasicXform,StatisticBasedCase
PeakMemory,365283616,M2MTransformation2,16,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,12,BasicXform,StatisticBasedCase
AverageMemory,217973556,M2MTransformation2,16,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,12,BasicXform,StatisticBasedCase
Time,178817,Modification,16,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,13,BasicXform,StatisticBasedCase
