RunIndex,Scenario,Iteration,MetricValue,PhaseName,Sequence,MetricName,Tool,Size,CaseName
1,BasicXform,1,249063,EMFResourceInitialization,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,11379256,EMFResourceInitialization,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,3079049030,Generation,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,193966320,Generation,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,144775141,Initialization,3,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,21922520,Initialization,3,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,87304348,Initialization,3,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,118873192,Initialization,3,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,369491041,M2MTransformation1,4,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,28548440,M2MTransformation1,4,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,188572484,M2MTransformation1,4,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,335034368,M2MTransformation1,4,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,356599,Modification,5,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,28547848,Modification,5,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,327718192,M2MTransformation2,6,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,28557632,M2MTransformation2,6,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,195197964,M2MTransformation2,6,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,1,320184992,M2MTransformation2,6,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,2,202905,Modification,7,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,2,28556816,Modification,7,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,2,288988991,M2MTransformation2,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,2,28564528,M2MTransformation2,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,2,195206924,M2MTransformation2,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,2,363143640,M2MTransformation2,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,3,176779,Modification,9,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,3,28564704,Modification,9,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,3,267251301,M2MTransformation2,10,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,3,28572152,M2MTransformation2,10,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,3,320202176,M2MTransformation2,10,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,3,195214984,M2MTransformation2,10,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,4,169895,Modification,11,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,4,28572352,Modification,11,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,4,258676169,M2MTransformation2,12,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,4,28581664,M2MTransformation2,12,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,4,320209760,M2MTransformation2,12,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,4,195222612,M2MTransformation2,12,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,5,165834,Modification,13,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,5,28580872,Modification,13,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,5,254406442,M2MTransformation2,14,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,5,28588648,M2MTransformation2,14,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,5,195231012,M2MTransformation2,14,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
1,BasicXform,5,363167760,M2MTransformation2,14,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,169030,EMFResourceInitialization,1,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,11226832,EMFResourceInitialization,1,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,3407652779,Generation,2,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,198737936,Generation,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,32378,Initialization,3,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,13924112,Initialization,3,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,55678728,Initialization,3,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,34801520,Initialization,3,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,38735805701,M2MTransformation1,4,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,17822080,M2MTransformation1,4,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,3323634128,M2MTransformation1,4,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,1096559383,M2MTransformation1,4,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,265619,Modification,5,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,17822232,Modification,5,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,37661075814,M2MTransformation2,6,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,18864744,M2MTransformation2,6,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,3251387808,M2MTransformation2,6,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,1,999184926,M2MTransformation2,6,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,2,186566,Modification,7,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,2,18864864,Modification,7,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,2,38517532461,M2MTransformation2,8,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,2,19811448,M2MTransformation2,8,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,2,1176211112,M2MTransformation2,8,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,2,3242806560,M2MTransformation2,8,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,3,144988,Modification,9,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,3,19810576,Modification,9,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,3,38105585560,M2MTransformation2,10,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,3,20954416,M2MTransformation2,10,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,3,3244047232,M2MTransformation2,10,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,3,1098787836,M2MTransformation2,10,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,4,119204,Modification,11,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,4,20954560,Modification,11,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,4,38126163339,M2MTransformation2,12,Time,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
2,BasicXform,4,21903496,M2MTransformation2,12,Memory,BATCH_OPTIMIZED-TEMPLATE,16,StatisticBasedCase
