RunIndex,MetricName,Iteration,Scenario,PhaseName,MetricValue,Size,Tool,CaseName,Sequence
1,Time,1,BasicXform,EMFResourceInitialization,240228,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,1
1,Memory,1,BasicXform,EMFResourceInitialization,11381432,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,1
1,Time,1,BasicXform,Generation,3131745964,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,2
1,Memory,1,BasicXform,Generation,189831584,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,2
1,Time,1,BasicXform,Initialization,165540402,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,3
1,Memory,1,BasicXform,Initialization,21923408,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,3
1,AverageMemory,1,BasicXform,Initialization,87307324,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,3
1,PeakMemory,1,BasicXform,Initialization,118876544,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,3
1,Time,1,BasicXform,M2MTransformation1,379432535,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,4
1,Memory,1,BasicXform,M2MTransformation1,28549000,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,4
1,AverageMemory,1,BasicXform,M2MTransformation1,188578328,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,4
1,PeakMemory,1,BasicXform,M2MTransformation1,313569064,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,4
1,Time,1,BasicXform,Modification,310761,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,5
1,Memory,1,BasicXform,Modification,28548368,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,5
1,Time,1,BasicXform,M2MTransformation2,349883549,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,6
1,Memory,1,BasicXform,M2MTransformation2,28558400,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,6
1,PeakMemory,1,BasicXform,M2MTransformation2,320194328,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,6
