RunIndex,MetricName,Sequence,CaseName,PhaseName,Scenario,Size,Tool,MetricValue,Iteration
1,Time,1,StatisticBasedCase,EMFResourceInitialization,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,189061,1
1,Memory,1,StatisticBasedCase,EMFResourceInitialization,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,11392408,1
1,Time,2,StatisticBasedCase,Generation,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2994288331,1
1,Memory,2,StatisticBasedCase,Generation,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,189843848,1
1,Time,3,StatisticBasedCase,Initialization,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,171199413,1
1,Memory,3,StatisticBasedCase,Initialization,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,21935344,1
1,AverageMemory,3,StatisticBasedCase,Initialization,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,87319064,1
1,PeakMemory,3,StatisticBasedCase,Initialization,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,140363080,1
1,Time,4,StatisticBasedCase,M2MTransformation1,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,372272011,1
1,Memory,4,StatisticBasedCase,M2MTransformation1,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,28552632,1
1,AverageMemory,4,StatisticBasedCase,M2MTransformation1,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,209421596,1
1,PeakMemory,4,StatisticBasedCase,M2MTransformation1,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,376718656,1
1,Time,5,StatisticBasedCase,Modification,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,353675,1
1,Memory,5,StatisticBasedCase,Modification,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,28553024,1
1,Time,6,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,444279191,1
1,Memory,6,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,28564856,1
1,PeakMemory,6,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,404811128,1
1,AverageMemory,6,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,216039328,1
1,Time,7,StatisticBasedCase,Modification,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,295114,2
1,Memory,7,StatisticBasedCase,Modification,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,28563008,2
1,Time,8,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,344013096,2
1,Memory,8,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,28571384,2
1,PeakMemory,8,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,320207904,2
1,AverageMemory,8,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,195217556,2
1,Time,9,StatisticBasedCase,Modification,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,173871,3
1,Memory,9,StatisticBasedCase,Modification,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,28571552,3
1,Time,10,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,287861975,3
1,Memory,10,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,28579488,3
1,PeakMemory,10,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,320216512,3
1,AverageMemory,10,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,195226132,3
1,Time,11,StatisticBasedCase,Modification,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,169378,4
1,Memory,11,StatisticBasedCase,Modification,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,28579688,4
1,Time,12,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,282042183,4
1,Memory,12,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,28588600,4
1,AverageMemory,12,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,195234320,4
1,PeakMemory,12,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,320224728,4
1,Time,13,StatisticBasedCase,Modification,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,151724,5
1,Memory,13,StatisticBasedCase,Modification,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,28587848,5
1,Time,14,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,273155931,5
1,Memory,14,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,28595296,5
1,PeakMemory,14,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,320232848,5
1,AverageMemory,14,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,195242448,5
2,Time,1,StatisticBasedCase,EMFResourceInitialization,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,451762,1
2,Memory,1,StatisticBasedCase,EMFResourceInitialization,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,11236384,1
2,Time,2,StatisticBasedCase,Generation,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,3275350719,1
2,Memory,2,StatisticBasedCase,Generation,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,189773336,1
2,Time,3,StatisticBasedCase,Initialization,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,33222,1
2,Memory,3,StatisticBasedCase,Initialization,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,13933744,1
2,PeakMemory,3,StatisticBasedCase,Initialization,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,56085416,1
2,AverageMemory,3,StatisticBasedCase,Initialization,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,35009680,1
2,Time,4,StatisticBasedCase,M2MTransformation1,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,36708716392,1
2,Memory,4,StatisticBasedCase,M2MTransformation1,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,17833880,1
2,AverageMemory,4,StatisticBasedCase,M2MTransformation1,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,1216947893,1
2,PeakMemory,4,StatisticBasedCase,M2MTransformation1,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,3327903600,1
2,Time,5,StatisticBasedCase,Modification,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,249833,1
2,Memory,5,StatisticBasedCase,Modification,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,17834032,1
2,Time,6,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,36398638582,1
2,Memory,6,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,18878416,1
2,PeakMemory,6,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,3265022904,1
2,AverageMemory,6,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,876459941,1
2,Time,7,StatisticBasedCase,Modification,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,140428,2
2,Memory,7,StatisticBasedCase,Modification,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,18878536,2
2,Time,8,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,36116750551,2
2,Memory,8,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,19827296,2
2,AverageMemory,8,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,1085232621,2
2,PeakMemory,8,StatisticBasedCase,M2MTransformation2,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,3256459912,2
2,Time,9,StatisticBasedCase,Modification,BasicXform,16,BATCH_OPTIMIZED-TEMPLATE,98354,3
