Iteration,Scenario,MetricName,Size,CaseName,RunIndex,Sequence,PhaseName,Tool,MetricValue
1,BasicXform,Time,16,StatisticBasedCase,1,1,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,269248
1,BasicXform,Memory,16,StatisticBasedCase,1,1,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,11570432
1,BasicXform,Time,16,StatisticBasedCase,1,2,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3486716887
1,BasicXform,Memory,16,StatisticBasedCase,1,2,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,155203680
1,BasicXform,Time,16,StatisticBasedCase,1,3,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,148003448
1,BasicXform,Memory,16,StatisticBasedCase,1,3,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,20168528
1,BasicXform,PeakMemory,16,StatisticBasedCase,1,3,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,142255232
1,BasicXform,AverageMemory,16,StatisticBasedCase,1,3,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,88782864
1,BasicXform,Time,16,StatisticBasedCase,1,4,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,339940222
1,BasicXform,Memory,16,StatisticBasedCase,1,4,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,27342256
1,BasicXform,PeakMemory,16,StatisticBasedCase,1,4,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,317810432
1,BasicXform,AverageMemory,16,StatisticBasedCase,1,4,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,190249888
1,BasicXform,Time,16,StatisticBasedCase,1,5,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,333787
1,BasicXform,Memory,16,StatisticBasedCase,1,5,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,27341192
1,BasicXform,Time,16,StatisticBasedCase,1,6,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,322893108
1,BasicXform,Memory,16,StatisticBasedCase,1,6,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,27352464
1,BasicXform,PeakMemory,16,StatisticBasedCase,1,6,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,324983272
1,BasicXform,AverageMemory,16,StatisticBasedCase,1,6,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,197422732
2,BasicXform,Time,16,StatisticBasedCase,1,7,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,236707
