Size,Iteration,Sequence,PhaseName,MetricValue,Tool,Scenario,RunIndex,MetricName,CaseName
16,1,1,EMFResourceInitialization,286606,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,1,1,EMFResourceInitialization,9074120,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,1,2,Generation,3033187203,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,1,2,Generation,152757072,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,1,3,Initialization,167786689,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,1,3,Initialization,17679040,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,1,3,Initialization,86294388,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,1,3,Initialization,118291904,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,1,4,M2MTransformation1,348849220,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,1,4,M2MTransformation1,24850912,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,1,4,M2MTransformation1,187760304,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,1,4,M2MTransformation1,315320808,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,1,5,Modification,317816,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,1,5,Modification,24850944,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,1,6,M2MTransformation2,318292011,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,1,6,M2MTransformation2,24859984,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,1,6,M2MTransformation2,194932376,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,1,6,M2MTransformation2,322492864,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,2,7,Modification,246857,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,2,7,Modification,24858824,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,2,8,M2MTransformation2,303755589,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,2,8,M2MTransformation2,24869344,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,2,8,M2MTransformation2,194940392,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,2,8,M2MTransformation2,365450712,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,3,9,Modification,224977,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,3,9,Modification,24868224,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,3,10,M2MTransformation2,274757410,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,3,10,M2MTransformation2,24876080,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,3,10,M2MTransformation2,194949856,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,3,10,M2MTransformation2,322510544,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,4,11,Modification,220098,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,4,11,Modification,24875936,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,4,12,M2MTransformation2,271474363,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,4,12,M2MTransformation2,24885112,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,4,12,M2MTransformation2,194957520,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,4,12,M2MTransformation2,322518136,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
