Tool,CaseName,Size,Sequence,MetricName,Iteration,Scenario,RunIndex,PhaseName,MetricValue
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,1,Time,1,BasicXform,1,EMFResourceInitialization,358330
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,1,Memory,1,BasicXform,1,EMFResourceInitialization,9079776
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,2,Time,1,BasicXform,1,Generation,3975395700
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,2,Memory,1,BasicXform,1,Generation,152641568
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,3,Time,1,BasicXform,1,Initialization,182082808
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,3,Memory,1,BasicXform,1,Initialization,17677616
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,3,AverageMemory,1,BasicXform,1,Initialization,86291752
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,3,PeakMemory,1,BasicXform,1,Initialization,139764120
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,4,Time,1,BasicXform,1,M2MTransformation1,414051935
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,4,Memory,1,BasicXform,1,M2MTransformation1,24852344
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,4,AverageMemory,1,BasicXform,1,M2MTransformation1,209018868
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,4,PeakMemory,1,BasicXform,1,M2MTransformation1,357839368
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,5,Time,1,BasicXform,1,Modification,427592
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,5,Memory,1,BasicXform,1,Modification,24852376
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,6,Time,1,BasicXform,1,M2MTransformation2,410198733
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,6,Memory,1,BasicXform,1,M2MTransformation2,24864168
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,6,PeakMemory,1,BasicXform,1,M2MTransformation2,365014480
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,6,AverageMemory,1,BasicXform,1,M2MTransformation2,216193896
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,7,Time,2,BasicXform,1,Modification,257051
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,7,Memory,2,BasicXform,1,Modification,24863992
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,8,Time,2,BasicXform,1,M2MTransformation2,386738965
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,8,Memory,2,BasicXform,1,M2MTransformation2,24876368
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,8,PeakMemory,2,BasicXform,1,M2MTransformation2,365026008
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,8,AverageMemory,2,BasicXform,1,M2MTransformation2,216205468
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,9,Time,3,BasicXform,1,Modification,309187
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,9,Memory,3,BasicXform,1,Modification,24875168
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,10,Time,3,BasicXform,1,M2MTransformation2,322812274
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,10,Memory,3,BasicXform,1,M2MTransformation2,24884032
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,10,AverageMemory,3,BasicXform,1,M2MTransformation2,216216660
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,10,PeakMemory,3,BasicXform,1,M2MTransformation2,365037216
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,11,Time,4,BasicXform,1,Modification,318180
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,11,Memory,4,BasicXform,1,Modification,24882888
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,12,Time,4,BasicXform,1,M2MTransformation2,308168936
BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,StatisticBasedCase,16,12,Memory,4,BasicXform,1,M2MTransformation2,24891096
