Iteration,CaseName,Tool,Size,Scenario,MetricName,Sequence,MetricValue,PhaseName,RunIndex
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,1,278902,EMFResourceInitialization,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,1,8990064,EMFResourceInitialization,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,2,911905409,Generation,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,2,46442056,Generation,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,3,88185733,Initialization,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,3,13061720,Initialization,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,AverageMemory,3,53026884,Initialization,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,PeakMemory,3,74501720,Initialization,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,4,226977687,M2MTransformation1,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,4,16381928,M2MTransformation1,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,PeakMemory,4,184861088,M2MTransformation1,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,AverageMemory,4,109699120,M2MTransformation1,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,5,217996,Modification,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,5,16381968,Modification,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,6,209674310,M2MTransformation2,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,6,16390328,M2MTransformation2,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,PeakMemory,6,188181568,M2MTransformation2,1
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,AverageMemory,6,113019584,M2MTransformation2,1
2,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,7,202885,Modification,1
2,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,7,16390160,Modification,1
2,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,8,207407422,M2MTransformation2,1
2,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,8,16408640,M2MTransformation2,1
2,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,AverageMemory,8,113027876,M2MTransformation2,1
2,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,PeakMemory,8,188189960,M2MTransformation2,1
3,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,9,273483,Modification,1
3,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,9,16408472,Modification,1
3,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,10,209750356,M2MTransformation2,1
3,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,10,16418680,M2MTransformation2,1
3,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,AverageMemory,10,113046096,M2MTransformation2,1
3,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,PeakMemory,10,209682944,M2MTransformation2,1
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,11,254578,Modification,1
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,11,16418536,Modification,1
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,12,180624013,M2MTransformation2,1
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,12,16434328,M2MTransformation2,1
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,PeakMemory,12,209693104,M2MTransformation2,1
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,AverageMemory,12,113056220,M2MTransformation2,1
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,13,267180,Modification,1
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,13,16433192,Modification,1
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Time,14,157174934,M2MTransformation2,1
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,Memory,14,16442408,M2MTransformation2,1
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,PeakMemory,14,166758184,M2MTransformation2,1
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,BasicXform,AverageMemory,14,102333504,M2MTransformation2,1
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,1,201635,EMFResourceInitialization,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,1,8919800,EMFResourceInitialization,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,2,3449692857,Generation,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,2,160878864,Generation,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,3,14575,Initialization,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,3,11624672,Initialization,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,PeakMemory,3,54489376,Initialization,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,AverageMemory,3,33057124,Initialization,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Time,4,39307306922,M2MTransformation1,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,Memory,4,15523344,M2MTransformation1,2
1,StatisticBasedCase,BATCH_OPTIMIZED-TEMPLATE,16,BasicXform,PeakMemory,4,3515767480,M2MTransformation1,2
