CaseName,Size,Sequence,PhaseName,Iteration,MetricName,Tool,Scenario,MetricValue,RunIndex
StatisticBasedCase,8,1,EMFResourceInitialization,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,270882,1
StatisticBasedCase,8,1,EMFResourceInitialization,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,9600992,1
StatisticBasedCase,8,2,Generation,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,862904934,1
StatisticBasedCase,8,2,Generation,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,34206568,1
StatisticBasedCase,8,3,Initialization,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,93319000,1
StatisticBasedCase,8,3,Initialization,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,13672912,1
StatisticBasedCase,8,3,Initialization,1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,75112912,1
StatisticBasedCase,8,3,Initialization,1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,53638036,1
StatisticBasedCase,8,4,M2MTransformation1,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,218701826,1
StatisticBasedCase,8,4,M2MTransformation1,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,16993000,1
StatisticBasedCase,8,4,M2MTransformation1,1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,185472248,1
StatisticBasedCase,8,4,M2MTransformation1,1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,110310248,1
StatisticBasedCase,8,5,Modification,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,254936,1
StatisticBasedCase,8,5,Modification,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,16993040,1
StatisticBasedCase,8,6,M2MTransformation2,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,216957424,1
StatisticBasedCase,8,6,M2MTransformation2,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,17000816,1
StatisticBasedCase,8,6,M2MTransformation2,1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,210267440,1
StatisticBasedCase,8,6,M2MTransformation2,1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,124368056,1
StatisticBasedCase,8,7,Modification,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,262791,1
StatisticBasedCase,8,7,Modification,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,17000648,1
StatisticBasedCase,8,8,M2MTransformation2,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,204970076,1
StatisticBasedCase,8,8,M2MTransformation2,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,17020232,1
StatisticBasedCase,8,8,M2MTransformation2,2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,113638384,1
StatisticBasedCase,8,8,M2MTransformation2,2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,188800488,1
StatisticBasedCase,8,9,Modification,3,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,174221,1
StatisticBasedCase,8,9,Modification,3,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,17019072,1
StatisticBasedCase,8,10,M2MTransformation2,3,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,191528002,1
StatisticBasedCase,8,10,M2MTransformation2,3,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,17027384,1
StatisticBasedCase,8,10,M2MTransformation2,3,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,113656704,1
StatisticBasedCase,8,10,M2MTransformation2,3,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,188818704,1
StatisticBasedCase,8,11,Modification,4,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,181399,1
StatisticBasedCase,8,11,Modification,4,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,17027240,1
StatisticBasedCase,8,12,M2MTransformation2,4,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,193636978,1
StatisticBasedCase,8,12,M2MTransformation2,4,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,17036888,1
StatisticBasedCase,8,12,M2MTransformation2,4,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,113664944,1
StatisticBasedCase,8,12,M2MTransformation2,4,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,188826992,1
StatisticBasedCase,8,13,Modification,5,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,155303,1
StatisticBasedCase,8,13,Modification,5,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,17035720,1
StatisticBasedCase,8,14,M2MTransformation2,5,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,199163235,1
StatisticBasedCase,8,14,M2MTransformation2,5,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,17043320,1
StatisticBasedCase,8,14,M2MTransformation2,5,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,113673348,1
StatisticBasedCase,8,14,M2MTransformation2,5,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,188835344,1
StatisticBasedCase,16,1,EMFResourceInitialization,1,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,289715,2
StatisticBasedCase,16,1,EMFResourceInitialization,1,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,9521528,2
StatisticBasedCase,16,2,Generation,1,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1869549323,2
StatisticBasedCase,16,2,Generation,1,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,54103584,2
StatisticBasedCase,16,3,Initialization,1,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,15776,2
StatisticBasedCase,16,3,Initialization,1,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,12208224,2
StatisticBasedCase,16,3,Initialization,1,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,33010720,2
StatisticBasedCase,16,3,Initialization,1,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,22609172,2
StatisticBasedCase,16,4,M2MTransformation1,1,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,34647917772,2
StatisticBasedCase,16,4,M2MTransformation1,1,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,16005832,2
StatisticBasedCase,16,4,M2MTransformation1,1,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1450866672,2
StatisticBasedCase,16,4,M2MTransformation1,1,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,931315993,2
StatisticBasedCase,16,5,Modification,1,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,292529,2
StatisticBasedCase,16,5,Modification,1,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,16005952,2
StatisticBasedCase,16,6,M2MTransformation2,1,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,34231740692,2
StatisticBasedCase,16,6,M2MTransformation2,1,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,16984760,2
StatisticBasedCase,16,6,M2MTransformation2,1,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1451404752,2
StatisticBasedCase,16,6,M2MTransformation2,1,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,957643528,2
StatisticBasedCase,16,7,Modification,2,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,232939,2
StatisticBasedCase,16,7,Modification,2,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,16984848,2
StatisticBasedCase,16,8,M2MTransformation2,2,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,34239068485,2
StatisticBasedCase,16,8,M2MTransformation2,2,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,18014216,2
StatisticBasedCase,16,8,M2MTransformation2,2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1452459456,2
StatisticBasedCase,16,8,M2MTransformation2,2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1117308260,2
StatisticBasedCase,16,9,Modification,3,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,200941,2
StatisticBasedCase,16,9,Modification,3,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,18014304,2
StatisticBasedCase,16,10,M2MTransformation2,3,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,34433202053,2
StatisticBasedCase,16,10,M2MTransformation2,3,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,18948200,2
StatisticBasedCase,16,10,M2MTransformation2,3,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1453322944,2
StatisticBasedCase,16,10,M2MTransformation2,3,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,548446736,2
StatisticBasedCase,16,11,Modification,4,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,163422,2
StatisticBasedCase,16,11,Modification,4,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,18947320,2
StatisticBasedCase,16,12,M2MTransformation2,4,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,33840809181,2
StatisticBasedCase,16,12,M2MTransformation2,4,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,20078216,2
StatisticBasedCase,16,12,M2MTransformation2,4,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1454682016,2
StatisticBasedCase,16,12,M2MTransformation2,4,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,691484039,2
StatisticBasedCase,16,13,Modification,5,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,225457,2
StatisticBasedCase,16,13,Modification,5,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,20078328,2
StatisticBasedCase,16,14,M2MTransformation2,5,Time,BATCH_OPTIMIZED-TEMPLATE,BasicXform,34209088954,2
StatisticBasedCase,16,14,M2MTransformation2,5,Memory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,21013856,2
StatisticBasedCase,16,14,M2MTransformation2,5,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1455403352,2
StatisticBasedCase,16,14,M2MTransformation2,5,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,BasicXform,907270587,2
StatisticBasedCase,2,1,EMFResourceInitialization,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,297761,2
StatisticBasedCase,2,1,EMFResourceInitialization,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,9527240,2
StatisticBasedCase,2,2,Generation,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,95368653,2
StatisticBasedCase,2,2,Generation,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,12243632,2
StatisticBasedCase,2,3,Initialization,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,56400577,2
StatisticBasedCase,2,3,Initialization,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,12164360,2
StatisticBasedCase,2,3,Initialization,1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,95667504,2
StatisticBasedCase,2,3,Initialization,1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,52717788,2
StatisticBasedCase,2,4,M2MTransformation1,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,57344112,2
StatisticBasedCase,2,4,M2MTransformation1,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,12941240,2
StatisticBasedCase,2,4,M2MTransformation1,1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,44377224,2
StatisticBasedCase,2,4,M2MTransformation1,1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,55114656,2
StatisticBasedCase,2,5,Modification,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,259002,2
StatisticBasedCase,2,5,Modification,1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,12941072,2
StatisticBasedCase,2,6,M2MTransformation2,1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,57092528,2
