CaseName,PhaseName,Scenario,RunIndex,Sequence,Tool,Size,Iteration,MetricValue,MetricName
StatisticBasedCase,EMFResourceInitialization,BasicXform,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,253716,Time
StatisticBasedCase,EMFResourceInitialization,BasicXform,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,9588504,Memory
StatisticBasedCase,Generation,BasicXform,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,1044936167,Time
StatisticBasedCase,Generation,BasicXform,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,33499928,Memory
StatisticBasedCase,Initialization,BasicXform,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,95110663,Time
StatisticBasedCase,Initialization,BasicXform,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,13397624,Memory
StatisticBasedCase,Initialization,BasicXform,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,53628164,AverageMemory
StatisticBasedCase,Initialization,BasicXform,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,75103000,PeakMemory
StatisticBasedCase,M2MTransformation1,BasicXform,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,217960293,Time
StatisticBasedCase,M2MTransformation1,BasicXform,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15919848,Memory
StatisticBasedCase,M2MTransformation1,BasicXform,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,163722336,PeakMemory
StatisticBasedCase,M2MTransformation1,BasicXform,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,99297696,AverageMemory
StatisticBasedCase,Modification,BasicXform,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,271137,Time
StatisticBasedCase,Modification,BasicXform,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15919640,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,200404619,Time
StatisticBasedCase,M2MTransformation2,BasicXform,1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15929208,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,112557312,AverageMemory
StatisticBasedCase,M2MTransformation2,BasicXform,1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,187719352,PeakMemory
StatisticBasedCase,Modification,BasicXform,1,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,2,261513,Time
StatisticBasedCase,Modification,BasicXform,1,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,2,15929032,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,2,179982936,Time
StatisticBasedCase,M2MTransformation2,BasicXform,1,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,2,15940888,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,2,187728600,PeakMemory
StatisticBasedCase,M2MTransformation2,BasicXform,1,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,2,112566632,AverageMemory
StatisticBasedCase,Modification,BasicXform,1,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,3,183287,Time
StatisticBasedCase,Modification,BasicXform,1,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,3,15940688,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,3,204054497,Time
StatisticBasedCase,M2MTransformation2,BasicXform,1,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,3,15949360,Memory
