MetricValue,Iteration,Size,Scenario,MetricName,CaseName,RunIndex,PhaseName,Sequence,Tool
266661,1,8,BasicXform,Time,StatisticBasedCase,1,EMFResourceInitialization,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
9586768,1,8,BasicXform,Memory,StatisticBasedCase,1,EMFResourceInitialization,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1103854094,1,8,BasicXform,Time,StatisticBasedCase,1,Generation,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
33524872,1,8,BasicXform,Memory,StatisticBasedCase,1,Generation,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
100448247,1,8,BasicXform,Time,StatisticBasedCase,1,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
13403920,1,8,BasicXform,Memory,StatisticBasedCase,1,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
53634524,1,8,BasicXform,AverageMemory,StatisticBasedCase,1,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
75109392,1,8,BasicXform,PeakMemory,StatisticBasedCase,1,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
244347787,1,8,BasicXform,Time,StatisticBasedCase,1,M2MTransformation1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
15929488,1,8,BasicXform,Memory,StatisticBasedCase,1,M2MTransformation1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
185203256,1,8,BasicXform,PeakMemory,StatisticBasedCase,1,M2MTransformation1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
110041308,1,8,BasicXform,AverageMemory,StatisticBasedCase,1,M2MTransformation1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
388499,1,8,BasicXform,Time,StatisticBasedCase,1,Modification,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
15929288,1,8,BasicXform,Memory,StatisticBasedCase,1,Modification,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
204221384,1,8,BasicXform,Time,StatisticBasedCase,1,M2MTransformation2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
15947744,1,8,BasicXform,Memory,StatisticBasedCase,1,M2MTransformation2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
187728880,1,8,BasicXform,PeakMemory,StatisticBasedCase,1,M2MTransformation2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
