MetricName,PhaseName,Scenario,Tool,Size,RunIndex,Sequence,Iteration,MetricValue,CaseName
Time,EMFResourceInitialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,1,1,157379,StatisticBasedCase
Memory,EMFResourceInitialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,1,1,9591056,StatisticBasedCase
Time,Generation,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,2,1,818855313,StatisticBasedCase
Memory,Generation,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,2,1,33555088,StatisticBasedCase
Time,Initialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,3,1,90972969,StatisticBasedCase
Memory,Initialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,3,1,13405496,StatisticBasedCase
PeakMemory,Initialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,3,1,75113128,StatisticBasedCase
AverageMemory,Initialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,3,1,53638268,StatisticBasedCase
Time,M2MTransformation1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,4,1,201472208,StatisticBasedCase
Memory,M2MTransformation1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,4,1,15928112,StatisticBasedCase
PeakMemory,M2MTransformation1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,4,1,152992592,StatisticBasedCase
AverageMemory,M2MTransformation1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,4,1,88568040,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,5,1,305133,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,5,1,15928160,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,6,1,188686466,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,6,1,15935288,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,6,1,166252888,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,6,1,101828340,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,7,2,177867,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,7,2,15935088,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,8,2,168955047,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,8,2,15948048,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,8,2,187734792,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,8,2,101835328,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,9,3,192009,StatisticBasedCase
