RunIndex,Tool,Sequence,Iteration,Scenario,CaseName,Size,MetricName,PhaseName,MetricValue
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,BasicXform,StatisticBasedCase,8,Time,EMFResourceInitialization,194608
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,BasicXform,StatisticBasedCase,8,Memory,EMFResourceInitialization,9588488
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,1,BasicXform,StatisticBasedCase,8,Time,Generation,879199616
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,1,BasicXform,StatisticBasedCase,8,Memory,Generation,33507744
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,1,BasicXform,StatisticBasedCase,8,Time,Initialization,88803321
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,1,BasicXform,StatisticBasedCase,8,Memory,Initialization,13405592
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,1,BasicXform,StatisticBasedCase,8,AverageMemory,Initialization,53636132
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,1,BasicXform,StatisticBasedCase,8,PeakMemory,Initialization,75110968
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,1,BasicXform,StatisticBasedCase,8,Time,M2MTransformation1,207835943
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,1,BasicXform,StatisticBasedCase,8,Memory,M2MTransformation1,15927768
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,1,BasicXform,StatisticBasedCase,8,PeakMemory,M2MTransformation1,163730496
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,1,BasicXform,StatisticBasedCase,8,AverageMemory,M2MTransformation1,99305760
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,1,BasicXform,StatisticBasedCase,8,Time,Modification,246942
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,1,BasicXform,StatisticBasedCase,8,Memory,Modification,15927560
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,1,BasicXform,StatisticBasedCase,8,Time,M2MTransformation2,204981931
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,1,BasicXform,StatisticBasedCase,8,Memory,M2MTransformation2,15936832
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,1,BasicXform,StatisticBasedCase,8,AverageMemory,M2MTransformation2,112565168
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,1,BasicXform,StatisticBasedCase,8,PeakMemory,M2MTransformation2,187727144
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,2,BasicXform,StatisticBasedCase,8,Time,Modification,186835
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,2,BasicXform,StatisticBasedCase,8,Memory,Modification,15936656
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,2,BasicXform,StatisticBasedCase,8,Time,M2MTransformation2,177895144
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,2,BasicXform,StatisticBasedCase,8,Memory,M2MTransformation2,15949216
