RunIndex,Scenario,PhaseName,Sequence,MetricValue,MetricName,Tool,Iteration,Size,CaseName
1,BasicXform,EMFResourceInitialization,1,190806,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,EMFResourceInitialization,1,9592016,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,Generation,2,827968368,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,Generation,2,33788072,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,Initialization,3,88247077,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,Initialization,3,13407136,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,Initialization,3,75114336,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,Initialization,3,53639460,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,M2MTransformation1,4,198930929,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,M2MTransformation1,4,15939632,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,M2MTransformation1,4,142256800,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,M2MTransformation1,4,88569684,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,Modification,5,317841,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,Modification,5,15939328,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,6,154416112,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,6,15962152,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,6,144789248,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,6,91102104,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,8,StatisticBasedCase
1,BasicXform,Modification,7,234869,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,8,StatisticBasedCase
1,BasicXform,Modification,7,15961968,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,8,143347394,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,8,15974080,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,8,91124772,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,8,166286800,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,8,StatisticBasedCase
1,BasicXform,Modification,9,155439,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,8,StatisticBasedCase
1,BasicXform,Modification,9,15972880,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,10,140583891,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,10,15978264,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,10,166297696,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,10,91135676,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,8,StatisticBasedCase
1,BasicXform,Modification,11,125512,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,8,StatisticBasedCase
1,BasicXform,Modification,11,15978080,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,12,139099182,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,12,15984000,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,12,91140868,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,12,144828000,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,8,StatisticBasedCase
1,BasicXform,Modification,13,265733,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,8,StatisticBasedCase
1,BasicXform,Modification,13,15983792,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,14,132523460,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,14,15990176,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,14,101883988,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,8,StatisticBasedCase
1,BasicXform,M2MTransformation2,14,166308552,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,8,StatisticBasedCase
2,BasicXform,EMFResourceInitialization,1,327485,Time,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,EMFResourceInitialization,1,9520248,Memory,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,Generation,2,3028143411,Time,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,Generation,2,101164056,Memory,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,Initialization,3,22626,Time,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,Initialization,3,12237336,Memory,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,Initialization,3,54756904,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,Initialization,3,33497220,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,M2MTransformation1,4,40304833994,Time,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,M2MTransformation1,4,16136888,Memory,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,M2MTransformation1,4,3246420976,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,M2MTransformation1,4,1220983941,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
2,BasicXform,Modification,5,260320,Time,BATCH_OPTIMIZED-TEMPLATE,1,16,StatisticBasedCase
