RunIndex,MetricName,Tool,CaseName,Size,Scenario,MetricValue,Iteration,PhaseName,Sequence
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,206982,1,EMFResourceInitialization,1
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,9589696,1,EMFResourceInitialization,1
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,483577228,1,Generation,2
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,21055672,1,Generation,2
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,105561266,1,Initialization,3
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,13403000,1,Initialization,3
1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,75089320,1,Initialization,3
1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,53614444,1,Initialization,3
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,179628013,1,M2MTransformation1,4
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,15888880,1,M2MTransformation1,4
1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,88565520,1,M2MTransformation1,4
1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,142252600,1,M2MTransformation1,4
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,192306,1,Modification,5
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,15888928,1,Modification,5
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,188475864,1,M2MTransformation2,6
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,15899344,1,M2MTransformation2,6
1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,91051708,1,M2MTransformation2,6
1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,144738856,1,M2MTransformation2,6
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,228373,2,Modification,7
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,15899136,2,Modification,7
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,172264581,2,M2MTransformation2,8
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,15910528,2,M2MTransformation2,8
1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,144749304,2,M2MTransformation2,8
1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,91062036,2,M2MTransformation2,8
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,261139,3,Modification,9
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,15910320,3,Modification,9
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,145199042,3,M2MTransformation2,10
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,15916456,3,M2MTransformation2,10
1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,91073084,3,M2MTransformation2,10
1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,144760216,3,M2MTransformation2,10
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,211700,4,Modification,11
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,15916272,4,Modification,11
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,150087722,4,M2MTransformation2,12
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,15922224,4,M2MTransformation2,12
1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,91079056,4,M2MTransformation2,12
1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,144766184,4,M2MTransformation2,12
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,204264,5,Modification,13
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,15921016,5,Modification,13
1,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,144952275,5,M2MTransformation2,14
1,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,15928704,5,M2MTransformation2,14
1,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,144770856,5,M2MTransformation2,14
1,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,91083752,5,M2MTransformation2,14
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,505237,1,EMFResourceInitialization,1
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,9519680,1,EMFResourceInitialization,1
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,4234598104,1,Generation,2
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,105108536,1,Generation,2
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,29173,1,Initialization,3
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,12235608,1,Initialization,3
2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,27162688,1,Initialization,3
2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,75800232,1,Initialization,3
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,40043231317,1,M2MTransformation1,4
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,16135440,1,M2MTransformation1,4
2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,1323485137,1,M2MTransformation1,4
2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,3539469880,1,M2MTransformation1,4
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,291667,1,Modification,5
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,16135560,1,Modification,5
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,36493044216,1,M2MTransformation2,6
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,17179128,1,M2MTransformation2,6
2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,1178611747,1,M2MTransformation2,6
2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,3377661976,1,M2MTransformation2,6
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,205991,2,Modification,7
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,17179216,2,Modification,7
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,36127825858,2,M2MTransformation2,8
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,18126144,2,M2MTransformation2,8
2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,1221424982,2,M2MTransformation2,8
2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,3377870000,2,M2MTransformation2,8
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,146694,3,Modification,9
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,18126232,3,Modification,9
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,36765810215,3,M2MTransformation2,10
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,19271520,3,M2MTransformation2,10
2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,3366668328,3,M2MTransformation2,10
2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,1298991345,3,M2MTransformation2,10
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,162262,4,Modification,11
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,19271632,4,Modification,11
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,35939121653,4,M2MTransformation2,12
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,20221960,4,M2MTransformation2,12
2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,3359484520,4,M2MTransformation2,12
2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,1009915431,4,M2MTransformation2,12
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,274939,5,Modification,13
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,20222072,5,Modification,13
2,Time,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,36605143684,5,M2MTransformation2,14
2,Memory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,21173752,5,M2MTransformation2,14
2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,3354200824,5,M2MTransformation2,14
