Tool,Size,RunIndex,MetricValue,Iteration,Scenario,Sequence,MetricName,PhaseName,CaseName
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,348107,1,BasicXform,1,Time,EMFResourceInitialization,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,9588448,1,BasicXform,1,Memory,EMFResourceInitialization,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,1291555211,1,BasicXform,2,Time,Generation,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,33825536,1,BasicXform,2,Memory,Generation,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,96861913,1,BasicXform,3,Time,Initialization,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,13388008,1,BasicXform,3,Memory,Initialization,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,53626588,1,BasicXform,3,AverageMemory,Initialization,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,75101424,1,BasicXform,3,PeakMemory,Initialization,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,186583417,1,BasicXform,4,Time,M2MTransformation1,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15911776,1,BasicXform,4,Memory,M2MTransformation1,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,152975136,1,BasicXform,4,PeakMemory,M2MTransformation1,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,93919288,1,BasicXform,4,AverageMemory,M2MTransformation1,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,233677,1,BasicXform,5,Time,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15911792,1,BasicXform,5,Memory,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,190218047,1,BasicXform,6,Time,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15923656,1,BasicXform,6,Memory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,144761888,1,BasicXform,6,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,91074656,1,BasicXform,6,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,352245,2,BasicXform,7,Time,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15923448,2,BasicXform,7,Memory,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,191544928,2,BasicXform,8,Time,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15934896,2,BasicXform,8,Memory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,144773576,2,BasicXform,8,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,91086328,2,BasicXform,8,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,182678,3,BasicXform,9,Time,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15934688,3,BasicXform,9,Memory,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,188892067,3,BasicXform,10,Time,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15940200,3,BasicXform,10,Memory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,91097508,3,BasicXform,10,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,144784696,3,BasicXform,10,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,171277,4,BasicXform,11,Time,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15940016,4,BasicXform,11,Memory,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,180544895,4,BasicXform,12,Time,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15946192,4,BasicXform,12,Memory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,144789856,4,BasicXform,12,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,91102764,4,BasicXform,12,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,286182,5,BasicXform,13,Time,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15946008,5,BasicXform,13,Memory,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,166386920,5,BasicXform,14,Time,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,15954280,5,BasicXform,14,Memory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,91108792,5,BasicXform,14,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,144795944,5,BasicXform,14,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,308687,1,BasicXform,1,Time,EMFResourceInitialization,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,9522080,1,BasicXform,1,Memory,EMFResourceInitialization,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,3191740667,1,BasicXform,2,Time,Generation,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,101194328,1,BasicXform,2,Memory,Generation,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,14781,1,BasicXform,3,Time,Initialization,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,12238600,1,BasicXform,3,Memory,Initialization,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,33498436,1,BasicXform,3,AverageMemory,Initialization,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,54758072,1,BasicXform,3,PeakMemory,Initialization,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,41088455812,1,BasicXform,4,Time,M2MTransformation1,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,16138176,1,BasicXform,4,Memory,M2MTransformation1,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,1490043235,1,BasicXform,4,AverageMemory,M2MTransformation1,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,3413643752,1,BasicXform,4,PeakMemory,M2MTransformation1,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,273875,1,BasicXform,5,Time,Modification,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,16138296,1,BasicXform,5,Memory,Modification,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,38011272603,1,BasicXform,6,Time,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,17181848,1,BasicXform,6,Memory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,3392302032,1,BasicXform,6,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,1205717110,1,BasicXform,6,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,221970,2,BasicXform,7,Time,Modification,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,17181936,2,BasicXform,7,Memory,Modification,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,38154536674,2,BasicXform,8,Time,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,18129896,2,BasicXform,8,Memory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,3385778000,2,BasicXform,8,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,1284457071,2,BasicXform,8,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,153973,3,BasicXform,9,Time,Modification,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,18128992,3,BasicXform,9,Memory,Modification,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,38380369560,3,BasicXform,10,Time,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,19274208,3,BasicXform,10,Memory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,3381902096,3,BasicXform,10,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,1302484327,3,BasicXform,10,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,168987,4,BasicXform,11,Time,Modification,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,19274320,4,BasicXform,11,Memory,Modification,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,38183095496,4,BasicXform,12,Time,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,20224632,4,BasicXform,12,Memory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,1042772060,4,BasicXform,12,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,3373706440,4,BasicXform,12,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,195094,5,BasicXform,13,Time,Modification,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,20224744,5,BasicXform,13,Memory,Modification,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,38935823133,5,BasicXform,14,Time,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,21176408,5,BasicXform,14,Memory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,3375213896,5,BasicXform,14,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_OPTIMIZED-TEMPLATE,16,2,1021607633,5,BasicXform,14,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,403103,1,BasicXform,1,Time,EMFResourceInitialization,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,9524456,1,BasicXform,1,Memory,EMFResourceInitialization,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,99881436,1,BasicXform,2,Time,Generation,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12144160,1,BasicXform,2,Memory,Generation,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,57658629,1,BasicXform,3,Time,Initialization,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12128848,1,BasicXform,3,Memory,Initialization,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,95667864,1,BasicXform,3,PeakMemory,Initialization,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,52718156,1,BasicXform,3,AverageMemory,Initialization,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,46026477,1,BasicXform,4,Time,M2MTransformation1,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12720088,1,BasicXform,4,Memory,M2MTransformation1,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,55079136,1,BasicXform,4,PeakMemory,M2MTransformation1,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,44341708,1,BasicXform,4,AverageMemory,M2MTransformation1,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,162303,1,BasicXform,5,Time,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12719888,1,BasicXform,5,Memory,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,47070220,1,BasicXform,6,Time,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12725304,1,BasicXform,6,Memory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,44932948,1,BasicXform,6,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,55670376,1,BasicXform,6,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,161313,2,BasicXform,7,Time,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12725080,2,BasicXform,7,Memory,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,47748561,2,BasicXform,8,Time,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12731312,2,BasicXform,8,Memory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,77150392,2,BasicXform,8,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,44938124,2,BasicXform,8,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,199074,3,BasicXform,9,Time,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12731088,3,BasicXform,9,Memory,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,48993390,3,BasicXform,10,Time,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12743104,3,BasicXform,10,Memory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,55681640,3,BasicXform,10,PeakMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,44944180,3,BasicXform,10,AverageMemory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,267361,4,BasicXform,11,Time,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12742904,4,BasicXform,11,Memory,Modification,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,51710604,4,BasicXform,12,Time,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12749176,4,BasicXform,12,Memory,M2MTransformation2,StatisticBasedCase
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,55693420,4,BasicXform,12,AverageMemory,M2MTransformation2,StatisticBasedCase
