RunIndex,Size,Sequence,MetricValue,Iteration,MetricName,CaseName,Scenario,PhaseName,Tool
1,8,1,167629,1,Time,StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,1,9589312,1,Memory,StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,2,523129490,1,Time,StatisticBasedCase,BasicXform,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,2,21063032,1,Memory,StatisticBasedCase,BasicXform,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,3,115102173,1,Time,StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,3,13406288,1,Memory,StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,3,53617560,1,AverageMemory,StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,3,75092416,1,PeakMemory,StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,4,202532636,1,Time,StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,4,15892936,1,Memory,StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,4,152993472,1,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,4,88568880,1,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,5,305035,1,Time,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,5,15892984,1,Memory,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,6,190238509,1,Time,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,6,15898512,1,Memory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,6,144742920,1,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,6,91055768,1,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,7,294944,2,Time,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,7,15898304,2,Memory,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,8,182382815,2,Time,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,8,15904656,2,Memory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,8,91061048,2,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,8,166223016,2,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,9,225472,3,Time,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,9,15904448,3,Memory,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,10,174357629,3,Time,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,10,15911040,3,Memory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,10,91067180,3,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,10,144754280,3,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,11,167028,4,Time,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,11,15910856,4,Memory,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,12,166464506,4,Time,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,12,15915592,4,Memory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,12,144760808,4,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,12,91073660,4,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,13,211445,5,Time,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,13,15915408,5,Memory,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,14,153626018,5,Time,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,14,15922856,5,Memory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,14,144765392,5,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
1,8,14,91078216,5,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,16,1,193703,1,Time,StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_OPTIMIZED-TEMPLATE
2,16,1,9517104,1,Memory,StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_OPTIMIZED-TEMPLATE
2,16,2,1525244235,1,Time,StatisticBasedCase,BasicXform,Generation,BATCH_OPTIMIZED-TEMPLATE
2,16,2,51971392,1,Memory,StatisticBasedCase,BasicXform,Generation,BATCH_OPTIMIZED-TEMPLATE
2,16,3,15777,1,Time,StatisticBasedCase,BasicXform,Initialization,BATCH_OPTIMIZED-TEMPLATE
2,16,3,12217632,1,Memory,StatisticBasedCase,BasicXform,Initialization,BATCH_OPTIMIZED-TEMPLATE
2,16,3,22363208,1,AverageMemory,StatisticBasedCase,BasicXform,Initialization,BATCH_OPTIMIZED-TEMPLATE
2,16,3,32508584,1,PeakMemory,StatisticBasedCase,BasicXform,Initialization,BATCH_OPTIMIZED-TEMPLATE
2,16,4,34029371845,1,Time,StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE
2,16,4,16026576,1,Memory,StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE
2,16,4,1450729456,1,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE
2,16,4,607544607,1,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE
2,16,5,323838,1,Time,StatisticBasedCase,BasicXform,Modification,BATCH_OPTIMIZED-TEMPLATE
2,16,5,16026696,1,Memory,StatisticBasedCase,BasicXform,Modification,BATCH_OPTIMIZED-TEMPLATE
2,16,6,33570775380,1,Time,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,6,17016040,1,Memory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,6,1451491032,1,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,6,828329332,1,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,7,378202,2,Time,StatisticBasedCase,BasicXform,Modification,BATCH_OPTIMIZED-TEMPLATE
2,16,7,17016128,2,Memory,StatisticBasedCase,BasicXform,Modification,BATCH_OPTIMIZED-TEMPLATE
2,16,8,34811057354,2,Time,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,8,18052776,2,Memory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,8,836849872,2,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,8,1452515312,2,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,9,168242,3,Time,StatisticBasedCase,BasicXform,Modification,BATCH_OPTIMIZED-TEMPLATE
2,16,9,18051872,3,Memory,StatisticBasedCase,BasicXform,Modification,BATCH_OPTIMIZED-TEMPLATE
2,16,10,34234119176,3,Time,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,10,18990864,3,Memory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,10,1453393280,3,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,10,586724295,3,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,11,161500,4,Time,StatisticBasedCase,BasicXform,Modification,BATCH_OPTIMIZED-TEMPLATE
2,16,11,18990976,4,Memory,StatisticBasedCase,BasicXform,Modification,BATCH_OPTIMIZED-TEMPLATE
2,16,12,34265162143,4,Time,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,12,20128280,4,Memory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,12,1454457416,4,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,12,722896966,4,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,13,217763,5,Time,StatisticBasedCase,BasicXform,Modification,BATCH_OPTIMIZED-TEMPLATE
2,16,13,20128392,5,Memory,StatisticBasedCase,BasicXform,Modification,BATCH_OPTIMIZED-TEMPLATE
2,16,14,35327368702,5,Time,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,14,21070440,5,Memory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,14,1455471880,5,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,16,14,905655398,5,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE
2,2,1,283598,1,Time,StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,1,9520568,1,Memory,StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,2,97837385,1,Time,StatisticBasedCase,BasicXform,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,2,12118736,1,Memory,StatisticBasedCase,BasicXform,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,3,55514056,1,Time,StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,3,12130664,1,Memory,StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,3,74187720,1,PeakMemory,StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,3,52712884,1,AverageMemory,StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,4,49755378,1,Time,StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,4,12719248,1,Memory,StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,4,55081000,1,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,4,44343548,1,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,5,142199,1,Time,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,5,12719024,1,Memory,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,6,51196741,1,Time,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,6,12724560,1,Memory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,6,55669480,1,PeakMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,6,44932068,1,AverageMemory,StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,7,147999,2,Time,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,2,7,12724360,2,Memory,StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
