MetricName,Sequence,Tool,Iteration,RunIndex,MetricValue,Scenario,CaseName,Size,PhaseName
Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,399857,BasicXform,StatisticBasedCase,8,EMFResourceInitialization
Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,9587536,BasicXform,StatisticBasedCase,8,EMFResourceInitialization
Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,946953734,BasicXform,StatisticBasedCase,8,Generation
Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,33540928,BasicXform,StatisticBasedCase,8,Generation
Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,90726888,BasicXform,StatisticBasedCase,8,Initialization
Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,13395760,BasicXform,StatisticBasedCase,8,Initialization
PeakMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,75101472,BasicXform,StatisticBasedCase,8,Initialization
AverageMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,53626636,BasicXform,StatisticBasedCase,8,Initialization
Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,191994959,BasicXform,StatisticBasedCase,8,M2MTransformation1
Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,15919424,BasicXform,StatisticBasedCase,8,M2MTransformation1
PeakMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,152982864,BasicXform,StatisticBasedCase,8,M2MTransformation1
AverageMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,88558308,BasicXform,StatisticBasedCase,8,M2MTransformation1
Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,253015,BasicXform,StatisticBasedCase,8,Modification
Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,15919216,BasicXform,StatisticBasedCase,8,Modification
Time,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,195629325,BasicXform,StatisticBasedCase,8,M2MTransformation2
Memory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,15926488,BasicXform,StatisticBasedCase,8,M2MTransformation2
PeakMemory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,144769240,BasicXform,StatisticBasedCase,8,M2MTransformation2
AverageMemory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,1,91082044,BasicXform,StatisticBasedCase,8,M2MTransformation2
Time,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,1,214504,BasicXform,StatisticBasedCase,8,Modification
Memory,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,1,15926408,BasicXform,StatisticBasedCase,8,Modification
Time,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,1,184688807,BasicXform,StatisticBasedCase,8,M2MTransformation2
Memory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,1,15936472,BasicXform,StatisticBasedCase,8,M2MTransformation2
PeakMemory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,1,144776312,BasicXform,StatisticBasedCase,8,M2MTransformation2
AverageMemory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,1,91089176,BasicXform,StatisticBasedCase,8,M2MTransformation2
