PhaseName,Scenario,RunIndex,Size,CaseName,MetricName,Iteration,Tool,MetricValue,Sequence
EMFResourceInitialization,BasicXform,1,8,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,292765,1
EMFResourceInitialization,BasicXform,1,8,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9590976,1
Generation,BasicXform,1,8,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,905692218,2
Generation,BasicXform,1,8,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,34578600,2
Initialization,BasicXform,1,8,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,89854699,3
Initialization,BasicXform,1,8,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13409440,3
Initialization,BasicXform,1,8,StatisticBasedCase,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,75115704,3
Initialization,BasicXform,1,8,StatisticBasedCase,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,53640828,3
M2MTransformation1,BasicXform,1,8,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,204521421,4
M2MTransformation1,BasicXform,1,8,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15933968,4
M2MTransformation1,BasicXform,1,8,StatisticBasedCase,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,88572092,4
M2MTransformation1,BasicXform,1,8,StatisticBasedCase,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,142259312,4
Modification,BasicXform,1,8,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,280115,5
Modification,BasicXform,1,8,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15933784,5
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,190821095,6
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15960504,6
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,144783688,6
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,91096552,6
Modification,BasicXform,1,8,StatisticBasedCase,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,223631,7
Modification,BasicXform,1,8,StatisticBasedCase,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15959272,7
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,155880027,8
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15974744,8
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,AverageMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,91122080,8
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,144809256,8
Modification,BasicXform,1,8,StatisticBasedCase,Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,117913,9
Modification,BasicXform,1,8,StatisticBasedCase,Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15973584,9
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,148727145,10
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15978720,10
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,AverageMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,91136348,10
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,PeakMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,144823480,10
Modification,BasicXform,1,8,StatisticBasedCase,Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,120565,11
Modification,BasicXform,1,8,StatisticBasedCase,Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15978536,11
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,145650918,12
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15984640,12
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,PeakMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,144828464,12
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,AverageMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,91141328,12
Modification,BasicXform,1,8,StatisticBasedCase,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,151775,13
Modification,BasicXform,1,8,StatisticBasedCase,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15984456,13
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,142530281,14
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15992376,14
