MetricName,PhaseName,Scenario,CaseName,Iteration,RunIndex,Size,Tool,MetricValue,Sequence
Time,EMFResourceInitialization,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,262017,1
Memory,EMFResourceInitialization,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,9516136,1
Time,Generation,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,1707808316,2
Memory,Generation,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,51939296,2
Time,Initialization,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,12156,3
Memory,Initialization,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,12212440,3
PeakMemory,Initialization,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,32544352,3
AverageMemory,Initialization,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,22378496,3
Time,M2MTransformation1,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,34245766165,4
Memory,M2MTransformation1,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,16008504,4
PeakMemory,M2MTransformation1,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,1450783376,4
AverageMemory,M2MTransformation1,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,418029474,4
Time,Modification,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,257449,5
Memory,Modification,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,16008624,5
Time,M2MTransformation2,BasicXform,StatisticBasedCase,1,2,16,BATCH_OPTIMIZED-TEMPLATE,34333763525,6
