MetricName,MetricValue,Tool,PhaseName,Scenario,Sequence,RunIndex,CaseName,Iteration,Size
Time,210315,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,BasicXform,1,1,StatisticBasedCase,1,8
Memory,9590592,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,BasicXform,1,1,StatisticBasedCase,1,8
Time,828568906,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,BasicXform,2,1,StatisticBasedCase,1,8
Memory,33498368,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,BasicXform,2,1,StatisticBasedCase,1,8
Time,103304276,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,BasicXform,3,1,StatisticBasedCase,1,8
Memory,13392336,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,BasicXform,3,1,StatisticBasedCase,1,8
PeakMemory,75102352,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,BasicXform,3,1,StatisticBasedCase,1,8
AverageMemory,53627516,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,BasicXform,3,1,StatisticBasedCase,1,8
Time,156984038,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,BasicXform,4,1,StatisticBasedCase,1,8
Memory,15915336,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,BasicXform,4,1,StatisticBasedCase,1,8
AverageMemory,67080116,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,BasicXform,4,1,StatisticBasedCase,1,8
PeakMemory,99292408,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,BasicXform,4,1,StatisticBasedCase,1,8
Time,241391,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,5,1,StatisticBasedCase,1,8
Memory,15915248,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,5,1,StatisticBasedCase,1,8
Time,146316606,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,6,1,StatisticBasedCase,1,8
Memory,15922960,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,6,1,StatisticBasedCase,1,8
AverageMemory,69603272,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,6,1,StatisticBasedCase,1,8
PeakMemory,101815616,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,6,1,StatisticBasedCase,1,8
Time,216613,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,7,1,StatisticBasedCase,2,8
Memory,15922752,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,7,1,StatisticBasedCase,2,8
Time,136724231,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,8,1,StatisticBasedCase,2,8
Memory,15953928,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,8,1,StatisticBasedCase,2,8
PeakMemory,123297848,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,8,1,StatisticBasedCase,2,8
AverageMemory,69610712,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,8,1,StatisticBasedCase,2,8
Time,198627,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,9,1,StatisticBasedCase,3,8
Memory,15953760,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,9,1,StatisticBasedCase,3,8
Time,136957734,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,10,1,StatisticBasedCase,3,8
Memory,15964088,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,10,1,StatisticBasedCase,3,8
PeakMemory,123329232,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,10,1,StatisticBasedCase,3,8
AverageMemory,69641908,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,10,1,StatisticBasedCase,3,8
Time,185631,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,11,1,StatisticBasedCase,4,8
Memory,15963904,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,11,1,StatisticBasedCase,4,8
Time,119887856,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,12,1,StatisticBasedCase,4,8
Memory,15970696,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,12,1,StatisticBasedCase,4,8
PeakMemory,123339080,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,12,1,StatisticBasedCase,4,8
AverageMemory,69651916,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,12,1,StatisticBasedCase,4,8
Time,161246,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,13,1,StatisticBasedCase,5,8
Memory,15969496,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,13,1,StatisticBasedCase,5,8
Time,105549746,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,14,1,StatisticBasedCase,5,8
Memory,15977512,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,14,1,StatisticBasedCase,5,8
AverageMemory,69657476,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,14,1,StatisticBasedCase,5,8
PeakMemory,101869776,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,14,1,StatisticBasedCase,5,8
Time,691917,BATCH_OPTIMIZED-TEMPLATE,EMFResourceInitialization,BasicXform,1,2,StatisticBasedCase,1,16
Memory,9520816,BATCH_OPTIMIZED-TEMPLATE,EMFResourceInitialization,BasicXform,1,2,StatisticBasedCase,1,16
Time,3292042103,BATCH_OPTIMIZED-TEMPLATE,Generation,BasicXform,2,2,StatisticBasedCase,1,16
Memory,102603872,BATCH_OPTIMIZED-TEMPLATE,Generation,BasicXform,2,2,StatisticBasedCase,1,16
Time,12051,BATCH_OPTIMIZED-TEMPLATE,Initialization,BasicXform,3,2,StatisticBasedCase,1,16
Memory,12237832,BATCH_OPTIMIZED-TEMPLATE,Initialization,BasicXform,3,2,StatisticBasedCase,1,16
PeakMemory,54315032,BATCH_OPTIMIZED-TEMPLATE,Initialization,BasicXform,3,2,StatisticBasedCase,1,16
AverageMemory,33276532,BATCH_OPTIMIZED-TEMPLATE,Initialization,BasicXform,3,2,StatisticBasedCase,1,16
Time,39454606433,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,BasicXform,4,2,StatisticBasedCase,1,16
Memory,16136312,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,BasicXform,4,2,StatisticBasedCase,1,16
AverageMemory,1482424360,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,BasicXform,4,2,StatisticBasedCase,1,16
PeakMemory,3544722880,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,BasicXform,4,2,StatisticBasedCase,1,16
Time,284505,BATCH_OPTIMIZED-TEMPLATE,Modification,BasicXform,5,2,StatisticBasedCase,1,16
Memory,16136432,BATCH_OPTIMIZED-TEMPLATE,Modification,BasicXform,5,2,StatisticBasedCase,1,16
Time,36404278888,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,6,2,StatisticBasedCase,1,16
Memory,17180160,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,6,2,StatisticBasedCase,1,16
PeakMemory,3398075528,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,6,2,StatisticBasedCase,1,16
AverageMemory,1213039484,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,6,2,StatisticBasedCase,1,16
Time,247949,BATCH_OPTIMIZED-TEMPLATE,Modification,BasicXform,7,2,StatisticBasedCase,2,16
Memory,17180248,BATCH_OPTIMIZED-TEMPLATE,Modification,BasicXform,7,2,StatisticBasedCase,2,16
Time,37481663167,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,8,2,StatisticBasedCase,2,16
Memory,18126992,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,8,2,StatisticBasedCase,2,16
AverageMemory,1326615785,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,8,2,StatisticBasedCase,2,16
PeakMemory,3398328536,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,8,2,StatisticBasedCase,2,16
Time,149077,BATCH_OPTIMIZED-TEMPLATE,Modification,BasicXform,9,2,StatisticBasedCase,3,16
Memory,18127080,BATCH_OPTIMIZED-TEMPLATE,Modification,BasicXform,9,2,StatisticBasedCase,3,16
Time,36288216534,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,10,2,StatisticBasedCase,3,16
Memory,19273432,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,10,2,StatisticBasedCase,3,16
PeakMemory,3387659160,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,10,2,StatisticBasedCase,3,16
AverageMemory,1266787671,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,10,2,StatisticBasedCase,3,16
