Tool,MetricName,CaseName,RunIndex,PhaseName,Sequence,MetricValue,Size,Scenario,Iteration
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,EMFResourceInitialization,1,354412,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,EMFResourceInitialization,1,9599592,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,Generation,2,614412438,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,Generation,2,20441584,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,Initialization,3,93580589,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,Initialization,3,13404552,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,1,Initialization,3,75092224,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,1,Initialization,3,53617368,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,M2MTransformation1,4,172466852,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,M2MTransformation1,4,15872456,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,1,M2MTransformation1,4,174466552,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,1,M2MTransformation1,4,99304572,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,Modification,5,205898,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,Modification,5,15872504,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,M2MTransformation2,6,172082911,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,M2MTransformation2,6,15877688,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,1,M2MTransformation2,6,91035296,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,1,M2MTransformation2,6,144722408,8,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,Modification,7,167780,8,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,Modification,7,15877480,8,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,M2MTransformation2,8,170992230,8,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,M2MTransformation2,8,15883008,8,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,1,M2MTransformation2,8,91040252,8,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,1,M2MTransformation2,8,144727344,8,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,Modification,9,187156,8,BasicXform,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,Modification,9,15882800,8,BasicXform,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,M2MTransformation2,10,187161011,8,BasicXform,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,M2MTransformation2,10,15889416,8,BasicXform,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,1,M2MTransformation2,10,91045648,8,BasicXform,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,1,M2MTransformation2,10,144732816,8,BasicXform,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,Modification,11,344596,8,BasicXform,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,Modification,11,15889232,8,BasicXform,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,M2MTransformation2,12,186400759,8,BasicXform,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,M2MTransformation2,12,15897408,8,BasicXform,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,1,M2MTransformation2,12,91052056,8,BasicXform,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,1,M2MTransformation2,12,144739176,8,BasicXform,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,Modification,13,205310,8,BasicXform,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,Modification,13,15897224,8,BasicXform,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,1,M2MTransformation2,14,141682371,8,BasicXform,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,1,M2MTransformation2,14,15906072,8,BasicXform,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,1,M2MTransformation2,14,144747240,8,BasicXform,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,1,M2MTransformation2,14,91060072,8,BasicXform,5
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,EMFResourceInitialization,1,611747,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,EMFResourceInitialization,1,9522432,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,Generation,2,3036739842,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,Generation,2,100029632,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,Initialization,3,15827,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,Initialization,3,12240216,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,AverageMemory,StatisticBasedCase,2,Initialization,3,33500152,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,PeakMemory,StatisticBasedCase,2,Initialization,3,54759888,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation1,4,38278724445,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation1,4,16140208,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation1,4,3546799920,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation1,4,1514107907,16,BasicXform,1
