Sequence,MetricValue,Tool,CaseName,Size,Scenario,RunIndex,PhaseName,Iteration,MetricName
1,251005,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,EMFResourceInitialization,1,Time
1,9473464,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,EMFResourceInitialization,1,Memory
2,801939382,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Generation,1,Time
2,20037200,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Generation,1,Memory
3,135669682,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Initialization,1,Time
3,14347368,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Initialization,1,Memory
3,53495208,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Initialization,1,AverageMemory
3,74970072,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Initialization,1,PeakMemory
4,283116341,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation1,1,Time
4,16839848,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation1,1,Memory
4,100247488,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation1,1,PeakMemory
4,68035148,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation1,1,AverageMemory
5,351052,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Modification,1,Time
5,16839832,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Modification,1,Memory
6,225995235,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,1,Time
6,16844752,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,1,Memory
6,102740016,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,1,PeakMemory
6,70527740,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,1,AverageMemory
7,231415,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Modification,2,Time
7,16844736,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Modification,2,Memory
8,178507105,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,2,Time
8,16861288,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,2,Memory
8,124219752,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,2,PeakMemory
8,70532632,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,2,AverageMemory
9,172363,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Modification,3,Time
9,16861272,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Modification,3,Memory
10,138960062,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,3,Time
10,16867992,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,3,Memory
10,102761504,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,3,PeakMemory
10,70549204,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,3,AverageMemory
11,213075,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Modification,4,Time
11,16868000,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Modification,4,Memory
12,126472361,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,4,Time
12,16874728,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,4,Memory
12,124243256,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,4,PeakMemory
12,70556028,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,4,AverageMemory
13,223122,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Modification,5,Time
13,16874048,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,Modification,5,Memory
14,127591998,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,5,Time
14,16880584,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,5,Memory
14,102774424,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,5,PeakMemory
14,70562052,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,8,BasicXform,1,M2MTransformation2,5,AverageMemory
1,503904,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,EMFResourceInitialization,1,Time
1,9335376,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,EMFResourceInitialization,1,Memory
2,3068104958,BATCH_OPTIMIZED-TEMPLATE,StatisticBasedCase,16,BasicXform,2,Generation,1,Time
