Size,CaseName,MetricValue,Scenario,RunIndex,PhaseName,Sequence,MetricName,Iteration,Tool
2,StatisticBasedCase,186650,BasicXform,3,EMFResourceInitialization,1,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,9504312,BasicXform,3,EMFResourceInitialization,1,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,117193959,BasicXform,3,Generation,2,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,11381152,BasicXform,3,Generation,2,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,64055001,BasicXform,3,Initialization,3,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,12362328,BasicXform,3,Initialization,3,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,74169864,BasicXform,3,Initialization,3,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,52695000,BasicXform,3,Initialization,3,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,47585318,BasicXform,3,M2MTransformation1,4,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,12937672,BasicXform,3,M2MTransformation1,4,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,33837808,BasicXform,3,M2MTransformation1,4,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,33837808,BasicXform,3,M2MTransformation1,4,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,172463,BasicXform,3,Modification,5,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,12937664,BasicXform,3,Modification,5,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,48426200,BasicXform,3,M2MTransformation2,6,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,12942968,BasicXform,3,M2MTransformation2,6,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,34413344,BasicXform,3,M2MTransformation2,6,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,34413344,BasicXform,3,M2MTransformation2,6,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,195288,BasicXform,3,Modification,7,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,12942968,BasicXform,3,Modification,7,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,44699493,BasicXform,3,M2MTransformation2,8,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,12948856,BasicXform,3,M2MTransformation2,8,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,34418648,BasicXform,3,M2MTransformation2,8,AverageMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,34418648,BasicXform,3,M2MTransformation2,8,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,174210,BasicXform,3,Modification,9,Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,12950008,BasicXform,3,Modification,9,Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,41319833,BasicXform,3,M2MTransformation2,10,Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,12955848,BasicXform,3,M2MTransformation2,10,Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,34425688,BasicXform,3,M2MTransformation2,10,AverageMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,55900544,BasicXform,3,M2MTransformation2,10,PeakMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,151401,BasicXform,3,Modification,11,Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,12955840,BasicXform,3,Modification,11,Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,41417371,BasicXform,3,M2MTransformation2,12,Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,12967984,BasicXform,3,M2MTransformation2,12,Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,45168996,BasicXform,3,M2MTransformation2,12,AverageMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,55906448,BasicXform,3,M2MTransformation2,12,PeakMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,169738,BasicXform,3,Modification,13,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,12967280,BasicXform,3,Modification,13,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,41815931,BasicXform,3,M2MTransformation2,14,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,12974744,BasicXform,3,M2MTransformation2,14,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,55917816,BasicXform,3,M2MTransformation2,14,PeakMemory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
2,StatisticBasedCase,45180388,BasicXform,3,M2MTransformation2,14,AverageMemory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,526116,BasicXform,3,EMFResourceInitialization,1,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,10211416,BasicXform,3,EMFResourceInitialization,1,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,65590474427,BasicXform,3,Generation,2,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,1721347760,BasicXform,3,Generation,2,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,3554214905,BasicXform,3,Initialization,3,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,196250536,BasicXform,3,Initialization,3,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,905141840,BasicXform,3,Initialization,3,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,516739935,BasicXform,3,Initialization,3,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,1167514985,BasicXform,3,M2MTransformation1,4,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,226836336,BasicXform,3,M2MTransformation1,4,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,955897296,BasicXform,3,M2MTransformation1,4,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,665413232,BasicXform,3,M2MTransformation1,4,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,1107893,BasicXform,3,Modification,5,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,226836576,BasicXform,3,Modification,5,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,1146543453,BasicXform,3,M2MTransformation2,6,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,226854264,BasicXform,3,M2MTransformation2,6,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,1004659384,BasicXform,3,M2MTransformation2,6,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,720692650,BasicXform,3,M2MTransformation2,6,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,637834,BasicXform,3,Modification,7,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,226854280,BasicXform,3,Modification,7,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,1064215448,BasicXform,3,M2MTransformation2,8,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,226857192,BasicXform,3,M2MTransformation2,8,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
64,StatisticBasedCase,1004807552,BasicXform,3,M2MTransformation2,8,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
