Sequence,Iteration,Scenario,Tool,RunIndex,CaseName,PhaseName,MetricName,Size,MetricValue
1,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,EMFResourceInitialization,Time,2,362955
1,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,EMFResourceInitialization,Memory,2,9471472
2,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Generation,Time,2,112532965
2,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Generation,Memory,2,11871352
3,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Initialization,Time,2,69941139
3,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Initialization,Memory,2,12337664
3,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Initialization,AverageMemory,2,52665652
3,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Initialization,PeakMemory,2,74140504
4,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation1,Time,2,51865985
4,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation1,Memory,2,12927480
4,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation1,PeakMemory,2,33813144
4,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation1,AverageMemory,2,33813144
5,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Modification,Time,2,131929
5,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Modification,Memory,2,12927448
