RunIndex,MetricValue,PhaseName,Sequence,MetricName,Iteration,Tool,Scenario,Size,CaseName
3,398596,EMFResourceInitialization,1,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,9465528,EMFResourceInitialization,1,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,114222778,Generation,2,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,11825992,Generation,2,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,67904305,Initialization,3,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,12150488,Initialization,3,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,74133768,Initialization,3,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,52658932,Initialization,3,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,50107885,M2MTransformation1,4,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,12738696,M2MTransformation1,4,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,33625968,M2MTransformation1,4,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,33625968,M2MTransformation1,4,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,130900,Modification,5,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,12738472,Modification,5,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,52475934,M2MTransformation2,6,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,12743208,M2MTransformation2,6,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,34214152,M2MTransformation2,6,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,34214152,M2MTransformation2,6,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,189633,Modification,7,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,12742984,Modification,7,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,48045925,M2MTransformation2,8,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,12750040,M2MTransformation2,8,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,44956116,M2MTransformation2,8,AverageMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,55693568,M2MTransformation2,8,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,191632,Modification,9,Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,12749816,Modification,9,Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,48723222,M2MTransformation2,10,Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,12765776,M2MTransformation2,10,Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,55700400,M2MTransformation2,10,PeakMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,44962948,M2MTransformation2,10,AverageMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,229729,Modification,11,Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,12765704,Modification,11,Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,46078919,M2MTransformation2,12,Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,12772808,M2MTransformation2,12,Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,44978852,M2MTransformation2,12,AverageMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,55716296,M2MTransformation2,12,PeakMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,175678,Modification,13,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,12772584,Modification,13,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,41955544,M2MTransformation2,14,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,12778440,M2MTransformation2,14,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,55723120,M2MTransformation2,14,PeakMemory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,44985692,M2MTransformation2,14,AverageMemory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,2,StatisticBasedCase
3,329656,EMFResourceInitialization,1,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,10174480,EMFResourceInitialization,1,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,61270596800,Generation,2,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,913181024,Generation,2,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,3838520263,Initialization,3,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,196209048,Initialization,3,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,485708616,Initialization,3,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,882714784,Initialization,3,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,1216045942,M2MTransformation1,4,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,226623624,M2MTransformation1,4,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,997183056,M2MTransformation1,4,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,656246002,M2MTransformation1,4,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,843430,Modification,5,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,226622904,Modification,5,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,1164740964,M2MTransformation2,6,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,226626376,M2MTransformation2,6,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,1004529624,M2MTransformation2,6,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,726706109,M2MTransformation2,6,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,589951,Modification,7,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,226626392,Modification,7,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,1145272418,M2MTransformation2,8,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,226634344,M2MTransformation2,8,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,1004533152,M2MTransformation2,8,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,726709616,M2MTransformation2,8,AverageMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,574000,Modification,9,Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,226634360,Modification,9,Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,1053164086,M2MTransformation2,10,Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,226640928,M2MTransformation2,10,Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,1004541216,M2MTransformation2,10,PeakMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,745239208,M2MTransformation2,10,AverageMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,614178,Modification,11,Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,226640968,Modification,11,Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
