Iteration,Sequence,Tool,Scenario,RunIndex,MetricValue,MetricName,PhaseName,CaseName,Size
1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,332012,Time,EMFResourceInitialization,StatisticBasedCase,2
1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,9469744,Memory,EMFResourceInitialization,StatisticBasedCase,2
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,112560998,Time,Generation,StatisticBasedCase,2
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,11822280,Memory,Generation,StatisticBasedCase,2
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,87280420,Time,Initialization,StatisticBasedCase,2
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,12155608,Memory,Initialization,StatisticBasedCase,2
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,52663628,AverageMemory,Initialization,StatisticBasedCase,2
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,74138480,PeakMemory,Initialization,StatisticBasedCase,2
1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,62553041,Time,M2MTransformation1,StatisticBasedCase,2
1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,12745352,Memory,M2MTransformation1,StatisticBasedCase,2
1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,33631088,PeakMemory,M2MTransformation1,StatisticBasedCase,2
1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,33631088,AverageMemory,M2MTransformation1,StatisticBasedCase,2
1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,155959,Time,Modification,StatisticBasedCase,2
1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,12745128,Memory,Modification,StatisticBasedCase,2
1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,62067068,Time,M2MTransformation2,StatisticBasedCase,2
1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,12751352,Memory,M2MTransformation2,StatisticBasedCase,2
1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,55695632,PeakMemory,M2MTransformation2,StatisticBasedCase,2
1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,44958220,AverageMemory,M2MTransformation2,StatisticBasedCase,2
2,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,211324,Time,Modification,StatisticBasedCase,2
2,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,12751128,Memory,Modification,StatisticBasedCase,2
2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,57496356,Time,M2MTransformation2,StatisticBasedCase,2
2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,3,12756816,Memory,M2MTransformation2,StatisticBasedCase,2
