PhaseName,Sequence,Size,Scenario,RunIndex,CaseName,MetricValue,Iteration,Tool,MetricName
EMFResourceInitialization,1,2,BasicXform,3,StatisticBasedCase,309171,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
EMFResourceInitialization,1,2,BasicXform,3,StatisticBasedCase,9469216,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
Generation,2,2,BasicXform,3,StatisticBasedCase,130489978,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Generation,2,2,BasicXform,3,StatisticBasedCase,11840224,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
Initialization,3,2,BasicXform,3,StatisticBasedCase,67367208,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Initialization,3,2,BasicXform,3,StatisticBasedCase,12155976,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
Initialization,3,2,BasicXform,3,StatisticBasedCase,52663356,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
Initialization,3,2,BasicXform,3,StatisticBasedCase,74138232,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
M2MTransformation1,4,2,BasicXform,3,StatisticBasedCase,54113356,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation1,4,2,BasicXform,3,StatisticBasedCase,12746328,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation1,4,2,BasicXform,3,StatisticBasedCase,33631456,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
M2MTransformation1,4,2,BasicXform,3,StatisticBasedCase,33631456,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
Modification,5,2,BasicXform,3,StatisticBasedCase,125594,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,5,2,BasicXform,3,StatisticBasedCase,12747168,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,6,2,BasicXform,3,StatisticBasedCase,54224221,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,6,2,BasicXform,3,StatisticBasedCase,12752336,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,6,2,BasicXform,3,StatisticBasedCase,55697728,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
M2MTransformation2,6,2,BasicXform,3,StatisticBasedCase,44960288,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
Modification,7,2,BasicXform,3,StatisticBasedCase,122890,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,7,2,BasicXform,3,StatisticBasedCase,12752112,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,8,2,BasicXform,3,StatisticBasedCase,51657073,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,8,2,BasicXform,3,StatisticBasedCase,12764256,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,8,2,BasicXform,3,StatisticBasedCase,55702704,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
M2MTransformation2,8,2,BasicXform,3,StatisticBasedCase,44965248,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
Modification,9,2,BasicXform,3,StatisticBasedCase,140222,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,9,2,BasicXform,3,StatisticBasedCase,12764032,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,10,2,BasicXform,3,StatisticBasedCase,52636007,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,10,2,BasicXform,3,StatisticBasedCase,12775064,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,10,2,BasicXform,3,StatisticBasedCase,44977140,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
M2MTransformation2,10,2,BasicXform,3,StatisticBasedCase,55714568,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
Modification,11,2,BasicXform,3,StatisticBasedCase,152872,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,11,2,BasicXform,3,StatisticBasedCase,12774864,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,12,2,BasicXform,3,StatisticBasedCase,51513768,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,12,2,BasicXform,3,StatisticBasedCase,12780880,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,12,2,BasicXform,3,StatisticBasedCase,55725424,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
M2MTransformation2,12,2,BasicXform,3,StatisticBasedCase,44987996,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
Modification,13,2,BasicXform,3,StatisticBasedCase,155786,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,13,2,BasicXform,3,StatisticBasedCase,12780784,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,14,2,BasicXform,3,StatisticBasedCase,48504015,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,14,2,BasicXform,3,StatisticBasedCase,12787120,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,14,2,BasicXform,3,StatisticBasedCase,55731320,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
M2MTransformation2,14,2,BasicXform,3,StatisticBasedCase,44993892,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
EMFResourceInitialization,1,64,BasicXform,3,StatisticBasedCase,179203,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
EMFResourceInitialization,1,64,BasicXform,3,StatisticBasedCase,10172720,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
Generation,2,64,BasicXform,3,StatisticBasedCase,65078842586,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Generation,2,64,BasicXform,3,StatisticBasedCase,1721096112,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
Initialization,3,64,BasicXform,3,StatisticBasedCase,3564783041,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Initialization,3,64,BasicXform,3,StatisticBasedCase,196222880,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
Initialization,3,64,BasicXform,3,StatisticBasedCase,514794127,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
Initialization,3,64,BasicXform,3,StatisticBasedCase,901627944,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
