RunIndex,Scenario,Tool,Sequence,PhaseName,Iteration,MetricValue,MetricName,Size,CaseName
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,EMFResourceInitialization,1,600474,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,EMFResourceInitialization,1,9471872,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,Generation,1,123315647,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,Generation,1,11887656,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,1,65994959,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,1,12161032,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,1,74142192,PeakMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,1,52667356,AverageMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,M2MTransformation1,1,55000700,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,M2MTransformation1,1,12750832,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,M2MTransformation1,1,33636464,PeakMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,M2MTransformation1,1,33636464,AverageMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,Modification,1,150064,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,Modification,1,12750608,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,M2MTransformation2,1,55237540,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,M2MTransformation2,1,12756632,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,M2MTransformation2,1,44963668,AverageMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,M2MTransformation2,1,55701096,PeakMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,Modification,2,145304,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,Modification,2,12756448,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,M2MTransformation2,2,53281604,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,M2MTransformation2,2,12764120,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,M2MTransformation2,2,44969532,AverageMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,M2MTransformation2,2,77181840,PeakMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9,Modification,3,194263,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9,Modification,3,12763896,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,M2MTransformation2,3,52887545,Time,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,M2MTransformation2,3,12776696,Memory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,M2MTransformation2,3,55714408,PeakMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,M2MTransformation2,3,44976968,AverageMemory,2,StatisticBasedCase
3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11,Modification,4,180540,Time,2,StatisticBasedCase
