Tool,Size,Scenario,PhaseName,MetricName,RunIndex,MetricValue,Iteration,CaseName,Sequence
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,EMFResourceInitialization,Time,3,201066,1,StatisticBasedCase,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,EMFResourceInitialization,Memory,3,9479192,1,StatisticBasedCase,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Generation,Time,3,116061515,1,StatisticBasedCase,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Generation,Memory,3,11263232,1,StatisticBasedCase,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Initialization,Time,3,63954381,1,StatisticBasedCase,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Initialization,Memory,3,12147112,1,StatisticBasedCase,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Initialization,PeakMemory,3,74134920,1,StatisticBasedCase,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Initialization,AverageMemory,3,52660072,1,StatisticBasedCase,3
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,M2MTransformation1,Time,3,46150813,1,StatisticBasedCase,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,M2MTransformation1,Memory,3,12701760,1,StatisticBasedCase,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,M2MTransformation1,PeakMemory,3,33622592,1,StatisticBasedCase,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,M2MTransformation1,AverageMemory,3,33622592,1,StatisticBasedCase,4
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Modification,Time,3,235117,1,StatisticBasedCase,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Modification,Memory,3,12701536,1,StatisticBasedCase,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,M2MTransformation2,Time,3,47505514,1,StatisticBasedCase,6
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,M2MTransformation2,Memory,3,12705808,1,StatisticBasedCase,6
