MetricName,Tool,RunIndex,PhaseName,CaseName,Scenario,MetricValue,Sequence,Size,Iteration
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,EMFResourceInitialization,StatisticBasedCase,BasicXform,254763,1,2,1
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,EMFResourceInitialization,StatisticBasedCase,BasicXform,9488032,1,2,1
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Generation,StatisticBasedCase,BasicXform,120189400,2,2,1
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Generation,StatisticBasedCase,BasicXform,11900880,2,2,1
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,72285336,3,2,1
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,12083168,3,2,1
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,52683152,3,2,1
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,74158016,3,2,1
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,98427368,4,2,1
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,12672992,4,2,1
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,65770944,4,2,1
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation1,StatisticBasedCase,BasicXform,44296076,4,2,1
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,200436,5,2,1
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,12672768,5,2,1
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,98645638,6,2,1
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,12676992,6,2,1
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,55623304,6,2,1
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,44885876,6,2,1
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,236929,7,2,2
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,12676768,7,2,2
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,98133212,8,2,2
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,12684072,8,2,2
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,44889900,8,2,2
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,77102208,8,2,2
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,226247,9,2,3
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,12683888,9,2,3
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,99848105,10,2,3
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,12696280,10,2,3
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,44897032,10,2,3
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,55634496,10,2,3
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,172904,11,2,4
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,12696080,11,2,4
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,91573098,12,2,4
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,12706144,12,2,4
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,55646608,12,2,4
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,44909196,12,2,4
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,94454,13,2,5
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Modification,StatisticBasedCase,BasicXform,12705952,13,2,5
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,89194215,14,2,5
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,12711192,14,2,5
PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,55656488,14,2,5
AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,M2MTransformation2,StatisticBasedCase,BasicXform,44919060,14,2,5
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,EMFResourceInitialization,StatisticBasedCase,BasicXform,591602,1,64,1
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,EMFResourceInitialization,StatisticBasedCase,BasicXform,10187920,1,64,1
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Generation,StatisticBasedCase,BasicXform,69806102818,2,64,1
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Generation,StatisticBasedCase,BasicXform,1721114824,2,64,1
Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,4049016056,3,64,1
Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,Initialization,StatisticBasedCase,BasicXform,261997072,3,64,1
