CaseName,Scenario,Sequence,Tool,PhaseName,MetricName,MetricValue,RunIndex,Size,Iteration
StatisticBasedCase,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,Time,606011,3,2,1
StatisticBasedCase,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,Memory,9477608,3,2,1
StatisticBasedCase,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,Time,131980039,3,2,1
StatisticBasedCase,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,Memory,11890560,3,2,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,Time,108904651,3,2,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,Memory,12851616,3,2,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,PeakMemory,138572272,3,2,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,AverageMemory,84885140,3,2,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,Time,103301992,3,2,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,Memory,13445368,3,2,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,AverageMemory,45064476,3,2,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,PeakMemory,55801888,3,2,1
StatisticBasedCase,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Time,222257,3,2,1
