CaseName,Sequence,PhaseName,RunIndex,Tool,MetricValue,Scenario,MetricName,Iteration,Size
StatisticBasedCase,1,EMFResourceInitialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,291471,BasicXform,Time,1,2
StatisticBasedCase,1,EMFResourceInitialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9486512,BasicXform,Memory,1,2
StatisticBasedCase,2,Generation,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,123327738,BasicXform,Time,1,2
StatisticBasedCase,2,Generation,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11898272,BasicXform,Memory,1,2
StatisticBasedCase,3,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,50106053,BasicXform,Time,1,2
StatisticBasedCase,3,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13140184,BasicXform,Memory,1,2
StatisticBasedCase,3,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,52680592,BasicXform,PeakMemory,1,2
StatisticBasedCase,3,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,41943168,BasicXform,AverageMemory,1,2
StatisticBasedCase,4,M2MTransformation1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,122071338,BasicXform,Time,1,2
StatisticBasedCase,4,M2MTransformation1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13725856,BasicXform,Memory,1,2
StatisticBasedCase,4,M2MTransformation1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,77565360,BasicXform,PeakMemory,1,2
StatisticBasedCase,4,M2MTransformation1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,56090512,BasicXform,AverageMemory,1,2
StatisticBasedCase,5,Modification,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,276946,BasicXform,Time,1,2
StatisticBasedCase,5,Modification,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13725672,BasicXform,Memory,1,2
StatisticBasedCase,6,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,107058823,BasicXform,Time,1,2
StatisticBasedCase,6,M2MTransformation2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13733808,BasicXform,Memory,1,2
