RunIndex,Scenario,MetricValue,CaseName,Iteration,MetricName,Size,Tool,PhaseName,Sequence
3,BasicXform,164688,StatisticBasedCase,1,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,1
3,BasicXform,9481704,StatisticBasedCase,1,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,1
3,BasicXform,111833827,StatisticBasedCase,1,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,2
3,BasicXform,11911488,StatisticBasedCase,1,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,2
3,BasicXform,63101338,StatisticBasedCase,1,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,3
3,BasicXform,12878024,StatisticBasedCase,1,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,3
3,BasicXform,95626912,StatisticBasedCase,1,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,3
3,BasicXform,63414644,StatisticBasedCase,1,AverageMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,3
3,BasicXform,102666666,StatisticBasedCase,1,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,4
3,BasicXform,13469064,StatisticBasedCase,1,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,4
3,BasicXform,55828360,StatisticBasedCase,1,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,4
3,BasicXform,45090908,StatisticBasedCase,1,AverageMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,4
3,BasicXform,240848,StatisticBasedCase,1,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,5
3,BasicXform,13468848,StatisticBasedCase,1,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,5
3,BasicXform,101837990,StatisticBasedCase,1,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,6
3,BasicXform,13478288,StatisticBasedCase,1,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,6
3,BasicXform,56419336,StatisticBasedCase,1,PeakMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,6
3,BasicXform,45681908,StatisticBasedCase,1,AverageMemory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,6
3,BasicXform,196948,StatisticBasedCase,2,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,7
3,BasicXform,13478072,StatisticBasedCase,2,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,7
