Iteration,RunIndex,Tool,Sequence,MetricValue,Size,CaseName,Scenario,MetricName,PhaseName
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,338989,2,StatisticBasedCase,BasicXform,Time,EMFResourceInitialization
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,9497928,2,StatisticBasedCase,BasicXform,Memory,EMFResourceInitialization
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,118137675,2,StatisticBasedCase,BasicXform,Time,Generation
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,11967968,2,StatisticBasedCase,BasicXform,Memory,Generation
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,53192387,2,StatisticBasedCase,BasicXform,Time,Initialization
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,13163560,2,StatisticBasedCase,BasicXform,Memory,Initialization
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,52696808,2,StatisticBasedCase,BasicXform,PeakMemory,Initialization
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,41959384,2,StatisticBasedCase,BasicXform,AverageMemory,Initialization
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,104155295,2,StatisticBasedCase,BasicXform,Time,M2MTransformation1
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,13754432,2,StatisticBasedCase,BasicXform,Memory,M2MTransformation1
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,56113864,2,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation1
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,45376452,2,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation1
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,201310,2,StatisticBasedCase,BasicXform,Time,Modification
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,13754216,2,StatisticBasedCase,BasicXform,Memory,Modification
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,101597738,2,StatisticBasedCase,BasicXform,Time,M2MTransformation2
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,13759560,2,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,56704752,2,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,45967324,2,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,140331,2,StatisticBasedCase,BasicXform,Time,Modification
2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,13759344,2,StatisticBasedCase,BasicXform,Memory,Modification
2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,103117373,2,StatisticBasedCase,BasicXform,Time,M2MTransformation2
2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,13766584,2,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,56709904,2,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,45972464,2,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9,317705,2,StatisticBasedCase,BasicXform,Time,Modification
3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9,13766440,2,StatisticBasedCase,BasicXform,Memory,Modification
3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,104245586,2,StatisticBasedCase,BasicXform,Time,M2MTransformation2
3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,13777784,2,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,56716944,2,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,45979532,2,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
4,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11,199563,2,StatisticBasedCase,BasicXform,Time,Modification
4,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11,13777592,2,StatisticBasedCase,BasicXform,Memory,Modification
4,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,103144235,2,StatisticBasedCase,BasicXform,Time,M2MTransformation2
4,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,13782400,2,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
4,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,78202976,2,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
4,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,45990708,2,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
5,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13,154043,2,StatisticBasedCase,BasicXform,Time,Modification
5,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13,13782184,2,StatisticBasedCase,BasicXform,Memory,Modification
5,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,99630760,2,StatisticBasedCase,BasicXform,Time,M2MTransformation2
5,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,13791144,2,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
5,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,45995292,2,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
5,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,56732720,2,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,219171,64,StatisticBasedCase,BasicXform,Time,EMFResourceInitialization
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,10193504,64,StatisticBasedCase,BasicXform,Memory,EMFResourceInitialization
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,69278899561,64,StatisticBasedCase,BasicXform,Time,Generation
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,1721118032,64,StatisticBasedCase,BasicXform,Memory,Generation
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,3833614279,64,StatisticBasedCase,BasicXform,Time,Initialization
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,262919408,64,StatisticBasedCase,BasicXform,Memory,Initialization
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,998583672,64,StatisticBasedCase,BasicXform,PeakMemory,Initialization
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,549198469,64,StatisticBasedCase,BasicXform,AverageMemory,Initialization
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,15524578548,64,StatisticBasedCase,BasicXform,Time,M2MTransformation1
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,293508792,64,StatisticBasedCase,BasicXform,Memory,M2MTransformation1
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,1197513177,64,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation1
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,2223965736,64,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation1
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,2427905,64,StatisticBasedCase,BasicXform,Time,Modification
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,293509000,64,StatisticBasedCase,BasicXform,Memory,Modification
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,15143578096,64,StatisticBasedCase,BasicXform,Time,M2MTransformation2
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,293519144,64,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,3032500552,64,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,1456613592,64,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,659785,64,StatisticBasedCase,BasicXform,Time,Modification
2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,293519128,64,StatisticBasedCase,BasicXform,Memory,Modification
2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,15100778007,64,StatisticBasedCase,BasicXform,Time,M2MTransformation2
2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,293523864,64,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,2096410032,64,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,3496394904,64,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9,596131,64,StatisticBasedCase,BasicXform,Time,Modification
3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9,293523864,64,StatisticBasedCase,BasicXform,Memory,Modification
3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,15033801533,64,StatisticBasedCase,BasicXform,Time,M2MTransformation2
3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,293528664,64,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,3535547704,64,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,10,2097277150,64,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
4,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11,615669,64,StatisticBasedCase,BasicXform,Time,Modification
4,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11,293528672,64,StatisticBasedCase,BasicXform,Memory,Modification
4,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,15015122631,64,StatisticBasedCase,BasicXform,Time,M2MTransformation2
4,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,293532824,64,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
4,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,3505475592,64,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
4,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,2084518014,64,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
5,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13,275514,64,StatisticBasedCase,BasicXform,Time,Modification
5,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13,293532832,64,StatisticBasedCase,BasicXform,Memory,Modification
5,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,15031342314,64,StatisticBasedCase,BasicXform,Time,M2MTransformation2
5,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,293536712,64,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
5,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,3552202912,64,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
