MetricName,Scenario,Iteration,CaseName,RunIndex,Sequence,Tool,PhaseName,MetricValue,Size
Time,BasicXform,1,StatisticBasedCase,3,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,163181,2
Memory,BasicXform,1,StatisticBasedCase,3,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,9501088,2
Time,BasicXform,1,StatisticBasedCase,3,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,99204190,2
Memory,BasicXform,1,StatisticBasedCase,3,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,11321984,2
Time,BasicXform,1,StatisticBasedCase,3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,47872890,2
Memory,BasicXform,1,StatisticBasedCase,3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,13199616,2
AverageMemory,BasicXform,1,StatisticBasedCase,3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,41952608,2
PeakMemory,BasicXform,1,StatisticBasedCase,3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,74164888,2
Time,BasicXform,1,StatisticBasedCase,3,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,55723857,2
Memory,BasicXform,1,StatisticBasedCase,3,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,13777080,2
AverageMemory,BasicXform,1,StatisticBasedCase,3,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,34675048,2
PeakMemory,BasicXform,1,StatisticBasedCase,3,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,34675048,2
Time,BasicXform,1,StatisticBasedCase,3,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,221680,2
Memory,BasicXform,1,StatisticBasedCase,3,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,13777208,2
Time,BasicXform,1,StatisticBasedCase,3,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,55349497,2
Memory,BasicXform,1,StatisticBasedCase,3,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,13782872,2
PeakMemory,BasicXform,1,StatisticBasedCase,3,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,35252840,2
AverageMemory,BasicXform,1,StatisticBasedCase,3,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,35252840,2
Time,BasicXform,2,StatisticBasedCase,3,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,161163,2
Memory,BasicXform,2,StatisticBasedCase,3,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,13782840,2
Time,BasicXform,2,StatisticBasedCase,3,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,53015544,2
Memory,BasicXform,2,StatisticBasedCase,3,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,13788664,2
PeakMemory,BasicXform,2,StatisticBasedCase,3,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,35258472,2
AverageMemory,BasicXform,2,StatisticBasedCase,3,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,35258472,2
Time,BasicXform,3,StatisticBasedCase,3,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,171980,2
Memory,BasicXform,3,StatisticBasedCase,3,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,13788672,2
Time,BasicXform,3,StatisticBasedCase,3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,48011220,2
Memory,BasicXform,3,StatisticBasedCase,3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,13795896,2
AverageMemory,BasicXform,3,StatisticBasedCase,3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,46001744,2
PeakMemory,BasicXform,3,StatisticBasedCase,3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,56739184,2
Time,BasicXform,4,StatisticBasedCase,3,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,181859,2
Memory,BasicXform,4,StatisticBasedCase,3,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,13795888,2
Time,BasicXform,4,StatisticBasedCase,3,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,43856950,2
Memory,BasicXform,4,StatisticBasedCase,3,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,13808040,2
AverageMemory,BasicXform,4,StatisticBasedCase,3,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,46008972,2
PeakMemory,BasicXform,4,StatisticBasedCase,3,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,56746400,2
Time,BasicXform,5,StatisticBasedCase,3,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,139107,2
Memory,BasicXform,5,StatisticBasedCase,3,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,13808008,2
Time,BasicXform,5,StatisticBasedCase,3,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,42214908,2
Memory,BasicXform,5,StatisticBasedCase,3,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,13816720,2
PeakMemory,BasicXform,5,StatisticBasedCase,3,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,56758504,2
AverageMemory,BasicXform,5,StatisticBasedCase,3,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,46021072,2
Time,BasicXform,1,StatisticBasedCase,3,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,485718,64
Memory,BasicXform,1,StatisticBasedCase,3,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,10199984,64
Time,BasicXform,1,StatisticBasedCase,3,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,66061897753,64
Memory,BasicXform,1,StatisticBasedCase,3,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,1721281736,64
Time,BasicXform,1,StatisticBasedCase,3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,4228402649,64
Memory,BasicXform,1,StatisticBasedCase,3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,281469032,64
PeakMemory,BasicXform,1,StatisticBasedCase,3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,1039841288,64
AverageMemory,BasicXform,1,StatisticBasedCase,3,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,586495495,64
Time,BasicXform,1,StatisticBasedCase,3,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,1401991941,64
Memory,BasicXform,1,StatisticBasedCase,3,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,312058000,64
PeakMemory,BasicXform,1,StatisticBasedCase,3,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,1067793624,64
AverageMemory,BasicXform,1,StatisticBasedCase,3,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,722287648,64
Time,BasicXform,1,StatisticBasedCase,3,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,2135203,64
Memory,BasicXform,1,StatisticBasedCase,3,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,312057664,64
Time,BasicXform,1,StatisticBasedCase,3,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1230692812,64
Memory,BasicXform,1,StatisticBasedCase,3,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,312075088,64
AverageMemory,BasicXform,1,StatisticBasedCase,3,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,788618688,64
PeakMemory,BasicXform,1,StatisticBasedCase,3,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1098382824,64
Time,BasicXform,2,StatisticBasedCase,3,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,641366,64
Memory,BasicXform,2,StatisticBasedCase,3,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,312075568,64
Time,BasicXform,2,StatisticBasedCase,3,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1171314910,64
Memory,BasicXform,2,StatisticBasedCase,3,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,312074816,64
PeakMemory,BasicXform,2,StatisticBasedCase,3,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1098400352,64
AverageMemory,BasicXform,2,StatisticBasedCase,3,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,800550338,64
Time,BasicXform,3,StatisticBasedCase,3,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,546523,64
Memory,BasicXform,3,StatisticBasedCase,3,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,312075248,64
Time,BasicXform,3,StatisticBasedCase,3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1161367198,64
Memory,BasicXform,3,StatisticBasedCase,3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,312081696,64
PeakMemory,BasicXform,3,StatisticBasedCase,3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1098400552,64
AverageMemory,BasicXform,3,StatisticBasedCase,3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,800550373,64
Time,BasicXform,4,StatisticBasedCase,3,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,578973,64
Memory,BasicXform,4,StatisticBasedCase,3,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,312082120,64
Time,BasicXform,4,StatisticBasedCase,3,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1110625537,64
Memory,BasicXform,4,StatisticBasedCase,3,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,312084640,64
AverageMemory,BasicXform,4,StatisticBasedCase,3,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,812471082,64
PeakMemory,BasicXform,4,StatisticBasedCase,3,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1098407152,64
Time,BasicXform,5,StatisticBasedCase,3,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,594970,64
Memory,BasicXform,5,StatisticBasedCase,3,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,312085128,64
Time,BasicXform,5,StatisticBasedCase,3,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1100759946,64
Memory,BasicXform,5,StatisticBasedCase,3,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,312092160,64
PeakMemory,BasicXform,5,StatisticBasedCase,3,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1098410040,64
AverageMemory,BasicXform,5,StatisticBasedCase,3,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,824388002,64
Time,BasicXform,1,StatisticBasedCase,2,1,BATCH_OPTIMIZED-TEMPLATE,EMFResourceInitialization,324212,16
Memory,BasicXform,1,StatisticBasedCase,2,1,BATCH_OPTIMIZED-TEMPLATE,EMFResourceInitialization,9404392,16
Time,BasicXform,1,StatisticBasedCase,2,2,BATCH_OPTIMIZED-TEMPLATE,Generation,3791637467,16
Memory,BasicXform,1,StatisticBasedCase,2,2,BATCH_OPTIMIZED-TEMPLATE,Generation,99461576,16
Time,BasicXform,1,StatisticBasedCase,2,3,BATCH_OPTIMIZED-TEMPLATE,Initialization,26967,16
Memory,BasicXform,1,StatisticBasedCase,2,3,BATCH_OPTIMIZED-TEMPLATE,Initialization,12113864,16
PeakMemory,BasicXform,1,StatisticBasedCase,2,3,BATCH_OPTIMIZED-TEMPLATE,Initialization,53783496,16
AverageMemory,BasicXform,1,StatisticBasedCase,2,3,BATCH_OPTIMIZED-TEMPLATE,Initialization,53783496,16
Time,BasicXform,1,StatisticBasedCase,2,4,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,30657612805,16
Memory,BasicXform,1,StatisticBasedCase,2,4,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,16014456,16
AverageMemory,BasicXform,1,StatisticBasedCase,2,4,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,951954835,16
PeakMemory,BasicXform,1,StatisticBasedCase,2,4,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,3103705768,16
Time,BasicXform,1,StatisticBasedCase,2,5,BATCH_OPTIMIZED-TEMPLATE,Modification,297428,16
Memory,BasicXform,1,StatisticBasedCase,2,5,BATCH_OPTIMIZED-TEMPLATE,Modification,16015056,16
Time,BasicXform,1,StatisticBasedCase,2,6,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,30325101294,16
Memory,BasicXform,1,StatisticBasedCase,2,6,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,17059896,16
AverageMemory,BasicXform,1,StatisticBasedCase,2,6,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,1101112072,16
PeakMemory,BasicXform,1,StatisticBasedCase,2,6,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,3052837248,16
Time,BasicXform,2,StatisticBasedCase,2,7,BATCH_OPTIMIZED-TEMPLATE,Modification,206851,16
Memory,BasicXform,2,StatisticBasedCase,2,7,BATCH_OPTIMIZED-TEMPLATE,Modification,17059992,16
Time,BasicXform,2,StatisticBasedCase,2,8,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,30522223466,16
Memory,BasicXform,2,StatisticBasedCase,2,8,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,18008176,16
PeakMemory,BasicXform,2,StatisticBasedCase,2,8,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,3041690360,16
AverageMemory,BasicXform,2,StatisticBasedCase,2,8,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,987478334,16
Time,BasicXform,3,StatisticBasedCase,2,9,BATCH_OPTIMIZED-TEMPLATE,Modification,155112,16
Memory,BasicXform,3,StatisticBasedCase,2,9,BATCH_OPTIMIZED-TEMPLATE,Modification,18008272,16
Time,BasicXform,3,StatisticBasedCase,2,10,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,30542562907,16
Memory,BasicXform,3,StatisticBasedCase,2,10,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,19154816,16
PeakMemory,BasicXform,3,StatisticBasedCase,2,10,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,3042450272,16
AverageMemory,BasicXform,3,StatisticBasedCase,2,10,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,1185193306,16
Time,BasicXform,4,StatisticBasedCase,2,11,BATCH_OPTIMIZED-TEMPLATE,Modification,199572,16
Memory,BasicXform,4,StatisticBasedCase,2,11,BATCH_OPTIMIZED-TEMPLATE,Modification,19154936,16
Time,BasicXform,4,StatisticBasedCase,2,12,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,30643261680,16
Memory,BasicXform,4,StatisticBasedCase,2,12,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,20106520,16
AverageMemory,BasicXform,4,StatisticBasedCase,2,12,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,1154410298,16
PeakMemory,BasicXform,4,StatisticBasedCase,2,12,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,3030669936,16
Time,BasicXform,5,StatisticBasedCase,2,13,BATCH_OPTIMIZED-TEMPLATE,Modification,167641,16
Memory,BasicXform,5,StatisticBasedCase,2,13,BATCH_OPTIMIZED-TEMPLATE,Modification,20106640,16
Time,BasicXform,5,StatisticBasedCase,2,14,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,30633729214,16
Memory,BasicXform,5,StatisticBasedCase,2,14,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,21059576,16
AverageMemory,BasicXform,5,StatisticBasedCase,2,14,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,1077775286,16
PeakMemory,BasicXform,5,StatisticBasedCase,2,14,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,3024226320,16
Time,BasicXform,1,StatisticBasedCase,2,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,EMFResourceInitialization,332290,64
Memory,BasicXform,1,StatisticBasedCase,2,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,EMFResourceInitialization,10206104,64
