Size,Tool,Iteration,MetricValue,Scenario,Sequence,RunIndex,MetricName,CaseName,PhaseName
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,730020,BasicXform,1,3,Time,StatisticBasedCase,EMFResourceInitialization
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,9532336,BasicXform,1,3,Memory,StatisticBasedCase,EMFResourceInitialization
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,117107937,BasicXform,2,3,Time,StatisticBasedCase,Generation
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,11909936,BasicXform,2,3,Memory,StatisticBasedCase,Generation
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,49359364,BasicXform,3,3,Time,StatisticBasedCase,Initialization
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,13239224,BasicXform,3,3,Memory,StatisticBasedCase,Initialization
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,52725608,BasicXform,3,3,PeakMemory,StatisticBasedCase,Initialization
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,41988184,BasicXform,3,3,AverageMemory,StatisticBasedCase,Initialization
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,51610055,BasicXform,4,3,Time,StatisticBasedCase,M2MTransformation1
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,13830432,BasicXform,4,3,Memory,StatisticBasedCase,M2MTransformation1
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,34714656,BasicXform,4,3,PeakMemory,StatisticBasedCase,M2MTransformation1
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,34714656,BasicXform,4,3,AverageMemory,StatisticBasedCase,M2MTransformation1
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,249815,BasicXform,5,3,Time,StatisticBasedCase,Modification
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,13830400,BasicXform,5,3,Memory,StatisticBasedCase,Modification
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,50220897,BasicXform,6,3,Time,StatisticBasedCase,M2MTransformation2
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,13836200,BasicXform,6,3,Memory,StatisticBasedCase,M2MTransformation2
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,56780880,BasicXform,6,3,PeakMemory,StatisticBasedCase,M2MTransformation2
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,46043456,BasicXform,6,3,AverageMemory,StatisticBasedCase,M2MTransformation2
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,203835,BasicXform,7,3,Time,StatisticBasedCase,Modification
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,13836200,BasicXform,7,3,Memory,StatisticBasedCase,Modification
