MetricValue,CaseName,RunIndex,PhaseName,Sequence,MetricName,Scenario,Iteration,Tool,Size
945065,StatisticBasedCase,4,EMFResourceInitialization,1,Time,BasicXform,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
11119976,StatisticBasedCase,4,EMFResourceInitialization,1,Memory,BasicXform,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
715888372,StatisticBasedCase,4,Generation,2,Time,BasicXform,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
61625840,StatisticBasedCase,4,Generation,2,Memory,BasicXform,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
90129015,StatisticBasedCase,4,Initialization,3,Time,BasicXform,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
113915634,StatisticBasedCase,4,M2MTransformation1,4,Time,BasicXform,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
51956584,StatisticBasedCase,4,M2MTransformation1,4,Memory,BasicXform,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
432591,StatisticBasedCase,4,Modification,5,Time,BasicXform,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
52006264,StatisticBasedCase,4,Modification,5,Memory,BasicXform,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
125936122,StatisticBasedCase,4,M2MTransformation2,6,Time,BasicXform,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
52050696,StatisticBasedCase,4,M2MTransformation2,6,Memory,BasicXform,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
470418,StatisticBasedCase,4,Modification,7,Time,BasicXform,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
52101512,StatisticBasedCase,4,Modification,7,Memory,BasicXform,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
125959343,StatisticBasedCase,4,M2MTransformation2,8,Time,BasicXform,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
52180880,StatisticBasedCase,4,M2MTransformation2,8,Memory,BasicXform,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
430262,StatisticBasedCase,4,Modification,9,Time,BasicXform,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
52231896,StatisticBasedCase,4,Modification,9,Memory,BasicXform,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
108547525,StatisticBasedCase,4,M2MTransformation2,10,Time,BasicXform,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
52262128,StatisticBasedCase,4,M2MTransformation2,10,Memory,BasicXform,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
420688,StatisticBasedCase,4,Modification,11,Time,BasicXform,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
52313288,StatisticBasedCase,4,Modification,11,Memory,BasicXform,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
107339022,StatisticBasedCase,4,M2MTransformation2,12,Time,BasicXform,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
52343840,StatisticBasedCase,4,M2MTransformation2,12,Memory,BasicXform,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
1684046,StatisticBasedCase,4,Modification,13,Time,BasicXform,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
52919552,StatisticBasedCase,4,Modification,13,Memory,BasicXform,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
107947779,StatisticBasedCase,4,M2MTransformation2,14,Time,BasicXform,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
52949744,StatisticBasedCase,4,M2MTransformation2,14,Memory,BasicXform,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
1032036,StatisticBasedCase,1,EMFResourceInitialization,1,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
11157528,StatisticBasedCase,1,EMFResourceInitialization,1,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
550522948,StatisticBasedCase,1,Generation,2,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
36027944,StatisticBasedCase,1,Generation,2,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
7213464,StatisticBasedCase,1,Initialization,3,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
808231556,StatisticBasedCase,1,M2MTransformation1,4,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
17680032,StatisticBasedCase,1,M2MTransformation1,4,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
216858,StatisticBasedCase,1,Modification,5,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
17680896,StatisticBasedCase,1,Modification,5,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
398584056,StatisticBasedCase,1,M2MTransformation2,6,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
18694752,StatisticBasedCase,1,M2MTransformation2,6,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8
