MetricValue,CaseName,Scenario,Sequence,Iteration,Size,MetricName,Tool,PhaseName,RunIndex
378150,StatisticBasedCase,BasicXform,1,1,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,4
11263480,StatisticBasedCase,BasicXform,1,1,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,4
958427232,StatisticBasedCase,BasicXform,2,1,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,4
56446112,StatisticBasedCase,BasicXform,2,1,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,4
110243385,StatisticBasedCase,BasicXform,3,1,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,4
32423536,StatisticBasedCase,BasicXform,3,1,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,4
105904832,StatisticBasedCase,BasicXform,3,1,8,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,4
69477636,StatisticBasedCase,BasicXform,3,1,8,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,4
81924619,StatisticBasedCase,BasicXform,4,1,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,4
40124264,StatisticBasedCase,BasicXform,4,1,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,4
105278496,StatisticBasedCase,BasicXform,4,1,8,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,4
73835416,StatisticBasedCase,BasicXform,4,1,8,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,4
594353,StatisticBasedCase,BasicXform,5,1,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,4
40173616,StatisticBasedCase,BasicXform,5,1,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,4
93350231,StatisticBasedCase,BasicXform,6,1,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
40191936,StatisticBasedCase,BasicXform,6,1,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
81585640,StatisticBasedCase,BasicXform,6,1,8,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
102291272,StatisticBasedCase,BasicXform,6,1,8,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
621722,StatisticBasedCase,BasicXform,7,2,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,4
40249576,StatisticBasedCase,BasicXform,7,2,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,4
88195531,StatisticBasedCase,BasicXform,8,2,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
40280848,StatisticBasedCase,BasicXform,8,2,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
123842104,StatisticBasedCase,BasicXform,8,2,8,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
81661608,StatisticBasedCase,BasicXform,8,2,8,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
507638,StatisticBasedCase,BasicXform,9,3,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,4
40330456,StatisticBasedCase,BasicXform,9,3,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,4
77752623,StatisticBasedCase,BasicXform,10,3,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
40346976,StatisticBasedCase,BasicXform,10,3,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
102448136,StatisticBasedCase,BasicXform,10,3,8,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
81742492,StatisticBasedCase,BasicXform,10,3,8,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
478112,StatisticBasedCase,BasicXform,11,4,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,4
40395776,StatisticBasedCase,BasicXform,11,4,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,4
81938527,StatisticBasedCase,BasicXform,12,4,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
40411064,StatisticBasedCase,BasicXform,12,4,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
81807872,StatisticBasedCase,BasicXform,12,4,8,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
123988408,StatisticBasedCase,BasicXform,12,4,8,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
2122643,StatisticBasedCase,BasicXform,13,5,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,4
40985320,StatisticBasedCase,BasicXform,13,5,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,4
74996208,StatisticBasedCase,BasicXform,14,5,8,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
41000656,StatisticBasedCase,BasicXform,14,5,8,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
82397448,StatisticBasedCase,BasicXform,14,5,8,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
103103184,StatisticBasedCase,BasicXform,14,5,8,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,4
209134,StatisticBasedCase,BasicXform,1,1,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,EMFResourceInitialization,2
11308832,StatisticBasedCase,BasicXform,1,1,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,EMFResourceInitialization,2
1059156056,StatisticBasedCase,BasicXform,2,1,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Generation,2
56514664,StatisticBasedCase,BasicXform,2,1,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Generation,2
90006197,StatisticBasedCase,BasicXform,3,1,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Initialization,2
20319352,StatisticBasedCase,BasicXform,3,1,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Initialization,2
58562932,StatisticBasedCase,BasicXform,3,1,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Initialization,2
84332616,StatisticBasedCase,BasicXform,3,1,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Initialization,2
22509231388,StatisticBasedCase,BasicXform,4,1,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation1,2
21581984,StatisticBasedCase,BasicXform,4,1,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation1,2
1095470392,StatisticBasedCase,BasicXform,4,1,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation1,2
508860950,StatisticBasedCase,BasicXform,4,1,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation1,2
320700,StatisticBasedCase,BasicXform,5,1,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Modification,2
21582920,StatisticBasedCase,BasicXform,5,1,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Modification,2
21795471366,StatisticBasedCase,BasicXform,6,1,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
21586880,StatisticBasedCase,BasicXform,6,1,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
1444844992,StatisticBasedCase,BasicXform,6,1,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
554751098,StatisticBasedCase,BasicXform,6,1,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
184006,StatisticBasedCase,BasicXform,7,2,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Modification,2
21587824,StatisticBasedCase,BasicXform,7,2,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Modification,2
22816350983,StatisticBasedCase,BasicXform,8,2,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
21599032,StatisticBasedCase,BasicXform,8,2,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
692953538,StatisticBasedCase,BasicXform,8,2,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
1450368728,StatisticBasedCase,BasicXform,8,2,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
167694,StatisticBasedCase,BasicXform,9,3,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Modification,2
21599968,StatisticBasedCase,BasicXform,9,3,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Modification,2
22035492458,StatisticBasedCase,BasicXform,10,3,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
21603056,StatisticBasedCase,BasicXform,10,3,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
1452665688,StatisticBasedCase,BasicXform,10,3,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
709985437,StatisticBasedCase,BasicXform,10,3,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,M2MTransformation2,2
122038,StatisticBasedCase,BasicXform,11,4,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Modification,2
