Size,MetricValue,RunIndex,Scenario,MetricName,Tool,Sequence,CaseName,PhaseName,Iteration
8,290987,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,EMFResourceInitialization,1
8,11204152,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,EMFResourceInitialization,1
8,787861176,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,Generation,1
8,57049016,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,Generation,1
8,82559687,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,Initialization,1
8,33257496,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,Initialization,1
8,98187568,4,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,Initialization,1
8,65975284,4,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,Initialization,1
8,80055662,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
8,40953992,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
8,76207768,4,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
8,97682608,4,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
8,290643,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,Modification,1
8,40967096,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,Modification,1
8,93260348,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
8,40982056,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
8,94654960,4,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
8,126867224,4,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
8,254916,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,StatisticBasedCase,Modification,2
8,40995856,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,StatisticBasedCase,Modification,2
8,88233097,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
8,41026984,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
8,105421144,4,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
8,83946300,4,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
8,263557,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,StatisticBasedCase,Modification,3
8,41032736,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,StatisticBasedCase,Modification,3
8,76573160,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
8,41050536,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
8,105458200,4,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
8,83983268,4,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
8,231299,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11,StatisticBasedCase,Modification,4
8,41056472,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11,StatisticBasedCase,Modification,4
8,82222457,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
8,41072904,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
8,126956840,4,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
8,84007040,4,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
8,236285,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,13,StatisticBasedCase,Modification,5
8,41079000,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,13,StatisticBasedCase,Modification,5
8,75315384,4,BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,StatisticBasedCase,M2MTransformation2,5
8,41093904,4,BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,StatisticBasedCase,M2MTransformation2,5
8,105504328,4,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,StatisticBasedCase,M2MTransformation2,5
8,84029464,4,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,StatisticBasedCase,M2MTransformation2,5
8,976361,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,1,StatisticBasedCase,EMFResourceInitialization,1
