Iteration,Scenario,CaseName,Size,MetricValue,MetricName,RunIndex,PhaseName,Tool,Sequence
1,BasicXform,StatisticBasedCase,8,255724,Time,4,EMFResourceInitialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1
1,BasicXform,StatisticBasedCase,8,11246520,Memory,4,EMFResourceInitialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1
1,BasicXform,StatisticBasedCase,8,761189277,Time,4,Generation,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2
1,BasicXform,StatisticBasedCase,8,56408608,Memory,4,Generation,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2
1,BasicXform,StatisticBasedCase,8,109929023,Time,4,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3
1,BasicXform,StatisticBasedCase,8,32692328,Memory,4,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3
1,BasicXform,StatisticBasedCase,8,66017276,AverageMemory,4,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3
1,BasicXform,StatisticBasedCase,8,98229552,PeakMemory,4,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3
1,BasicXform,StatisticBasedCase,8,79891513,Time,4,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4
1,BasicXform,StatisticBasedCase,8,40387032,Memory,4,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4
1,BasicXform,StatisticBasedCase,8,97117552,PeakMemory,4,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4
1,BasicXform,StatisticBasedCase,8,75642660,AverageMemory,4,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4
1,BasicXform,StatisticBasedCase,8,314604,Time,4,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5
1,BasicXform,StatisticBasedCase,8,40399848,Memory,4,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5
1,BasicXform,StatisticBasedCase,8,97003682,Time,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6
1,BasicXform,StatisticBasedCase,8,40414960,Memory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6
1,BasicXform,StatisticBasedCase,8,83350296,AverageMemory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6
1,BasicXform,StatisticBasedCase,8,104825144,PeakMemory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6
2,BasicXform,StatisticBasedCase,8,245518,Time,4,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7
2,BasicXform,StatisticBasedCase,8,40428240,Memory,4,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7
2,BasicXform,StatisticBasedCase,8,89711535,Time,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
2,BasicXform,StatisticBasedCase,8,40459312,Memory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
2,BasicXform,StatisticBasedCase,8,83378664,AverageMemory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
2,BasicXform,StatisticBasedCase,8,104853488,PeakMemory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8
3,BasicXform,StatisticBasedCase,8,330651,Time,4,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9
3,BasicXform,StatisticBasedCase,8,40464760,Memory,4,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9
3,BasicXform,StatisticBasedCase,8,79216617,Time,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10
3,BasicXform,StatisticBasedCase,8,40479424,Memory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10
3,BasicXform,StatisticBasedCase,8,104890032,PeakMemory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10
3,BasicXform,StatisticBasedCase,8,83415196,AverageMemory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10
4,BasicXform,StatisticBasedCase,8,194930,Time,4,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11
4,BasicXform,StatisticBasedCase,8,40485056,Memory,4,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11
4,BasicXform,StatisticBasedCase,8,74570022,Time,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12
4,BasicXform,StatisticBasedCase,8,40503480,Memory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12
4,BasicXform,StatisticBasedCase,8,83435628,AverageMemory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12
4,BasicXform,StatisticBasedCase,8,126385432,PeakMemory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12
5,BasicXform,StatisticBasedCase,8,208508,Time,4,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,13
5,BasicXform,StatisticBasedCase,8,40509272,Memory,4,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,13
5,BasicXform,StatisticBasedCase,8,77617937,Time,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14
5,BasicXform,StatisticBasedCase,8,40524416,Memory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14
5,BasicXform,StatisticBasedCase,8,83459708,AverageMemory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14
5,BasicXform,StatisticBasedCase,8,126409400,PeakMemory,4,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14
1,BasicXform,StatisticBasedCase,8,367858,Time,2,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,1
1,BasicXform,StatisticBasedCase,8,11294552,Memory,2,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,1
1,BasicXform,StatisticBasedCase,8,799793715,Time,2,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,2
1,BasicXform,StatisticBasedCase,8,50792520,Memory,2,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,2
1,BasicXform,StatisticBasedCase,8,91873068,Time,2,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,3
1,BasicXform,StatisticBasedCase,8,20253664,Memory,2,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,3
1,BasicXform,StatisticBasedCase,8,76796736,PeakMemory,2,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,3
1,BasicXform,StatisticBasedCase,8,55321872,AverageMemory,2,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,3
1,BasicXform,StatisticBasedCase,8,21892352015,Time,2,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,4
1,BasicXform,StatisticBasedCase,8,21508416,Memory,2,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,4
1,BasicXform,StatisticBasedCase,8,553462097,AverageMemory,2,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,4
1,BasicXform,StatisticBasedCase,8,1095355568,PeakMemory,2,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,4
1,BasicXform,StatisticBasedCase,8,350230,Time,2,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,5
1,BasicXform,StatisticBasedCase,8,21509416,Memory,2,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,5
1,BasicXform,StatisticBasedCase,8,21362940464,Time,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,6
1,BasicXform,StatisticBasedCase,8,21512752,Memory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,6
1,BasicXform,StatisticBasedCase,8,1101170040,PeakMemory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,6
1,BasicXform,StatisticBasedCase,8,610931638,AverageMemory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,6
2,BasicXform,StatisticBasedCase,8,193809,Time,2,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,7
2,BasicXform,StatisticBasedCase,8,21513688,Memory,2,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,7
2,BasicXform,StatisticBasedCase,8,22027648449,Time,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8
2,BasicXform,StatisticBasedCase,8,21516760,Memory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8
2,BasicXform,StatisticBasedCase,8,1450270016,PeakMemory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8
2,BasicXform,StatisticBasedCase,8,643543202,AverageMemory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8
3,BasicXform,StatisticBasedCase,8,152904,Time,2,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,9
3,BasicXform,StatisticBasedCase,8,21517696,Memory,2,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,9
3,BasicXform,StatisticBasedCase,8,21318421296,Time,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,10
3,BasicXform,StatisticBasedCase,8,21520640,Memory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,10
3,BasicXform,StatisticBasedCase,8,1452050952,PeakMemory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,10
3,BasicXform,StatisticBasedCase,8,731468082,AverageMemory,2,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,10
4,BasicXform,StatisticBasedCase,8,107858,Time,2,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,11
4,BasicXform,StatisticBasedCase,8,21521608,Memory,2,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,11
