Tool,Size,PhaseName,Scenario,RunIndex,CaseName,MetricName,MetricValue,Sequence,Iteration
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,EMFResourceInitialization,BasicXform,4,StatisticBasedCase,Time,1043814,1,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,EMFResourceInitialization,BasicXform,4,StatisticBasedCase,Memory,9564552,1,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Generation,BasicXform,4,StatisticBasedCase,Time,793738751,2,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Generation,BasicXform,4,StatisticBasedCase,Memory,32900808,2,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Initialization,BasicXform,4,StatisticBasedCase,Time,113255038,3,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Initialization,BasicXform,4,StatisticBasedCase,Memory,21343520,3,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Initialization,BasicXform,4,StatisticBasedCase,PeakMemory,96724592,3,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Initialization,BasicXform,4,StatisticBasedCase,AverageMemory,64430408,3,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation1,BasicXform,4,StatisticBasedCase,Time,72829052,4,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation1,BasicXform,4,StatisticBasedCase,Memory,24966272,4,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation1,BasicXform,4,StatisticBasedCase,AverageMemory,53556372,4,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation1,BasicXform,4,StatisticBasedCase,PeakMemory,64293784,4,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Modification,BasicXform,4,StatisticBasedCase,Time,316212,5,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Modification,BasicXform,4,StatisticBasedCase,Memory,24970400,5,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,Time,79406503,6,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,Memory,25077312,6,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,PeakMemory,67921072,6,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,AverageMemory,57183552,6,1
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Modification,BasicXform,4,StatisticBasedCase,Time,236061,7,2
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Modification,BasicXform,4,StatisticBasedCase,Memory,25082792,7,2
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,Time,70461480,8,2
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,Memory,25091248,8,2
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,AverageMemory,57295852,8,2
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,PeakMemory,68033280,8,2
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Modification,BasicXform,4,StatisticBasedCase,Time,252433,9,3
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Modification,BasicXform,4,StatisticBasedCase,Memory,25093112,9,3
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,Time,74292007,10,3
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,Memory,25106520,10,3
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,PeakMemory,68043592,10,3
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,AverageMemory,57306168,10,3
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Modification,BasicXform,4,StatisticBasedCase,Time,298383,11,4
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Modification,BasicXform,4,StatisticBasedCase,Memory,25108712,11,4
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,Time,69264643,12,4
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,Memory,25312840,12,4
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,PeakMemory,89534264,12,4
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,AverageMemory,57321888,12,4
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Modification,BasicXform,4,StatisticBasedCase,Time,279924,13,5
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,Modification,BasicXform,4,StatisticBasedCase,Memory,25315048,13,5
