MetricName,Iteration,RunIndex,Scenario,Sequence,Size,CaseName,MetricValue,PhaseName,Tool
Time,1,5,BasicXform,1,2,StatisticBasedCase,355560,EMFResourceInitialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,5,BasicXform,1,2,StatisticBasedCase,9490368,EMFResourceInitialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,5,BasicXform,2,2,StatisticBasedCase,96741914,Generation,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,5,BasicXform,2,2,StatisticBasedCase,11349160,Generation,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,5,BasicXform,3,2,StatisticBasedCase,36143942,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,5,BasicXform,3,2,StatisticBasedCase,11318320,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,5,BasicXform,3,2,StatisticBasedCase,74151736,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,5,BasicXform,3,2,StatisticBasedCase,41939456,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,5,BasicXform,4,2,StatisticBasedCase,33117359,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,5,BasicXform,4,2,StatisticBasedCase,12333600,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,5,BasicXform,4,2,StatisticBasedCase,54264952,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,5,BasicXform,4,2,StatisticBasedCase,43527528,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,5,BasicXform,5,2,StatisticBasedCase,313846,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,5,BasicXform,5,2,StatisticBasedCase,12340840,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,5,BasicXform,6,2,StatisticBasedCase,35486837,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,5,BasicXform,6,2,StatisticBasedCase,12514720,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,5,BasicXform,6,2,StatisticBasedCase,33816472,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,5,BasicXform,6,2,StatisticBasedCase,33816472,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,2,5,BasicXform,7,2,StatisticBasedCase,339277,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,2,5,BasicXform,7,2,StatisticBasedCase,12518936,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,2,5,BasicXform,8,2,StatisticBasedCase,32379712,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,2,5,BasicXform,8,2,StatisticBasedCase,12674688,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,2,5,BasicXform,8,2,StatisticBasedCase,55469424,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,2,5,BasicXform,8,2,StatisticBasedCase,33994568,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,3,5,BasicXform,9,2,StatisticBasedCase,292314,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,3,5,BasicXform,9,2,StatisticBasedCase,12678904,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,3,5,BasicXform,10,2,StatisticBasedCase,32361256,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,3,5,BasicXform,10,2,StatisticBasedCase,12849024,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,3,5,BasicXform,10,2,StatisticBasedCase,34154536,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,3,5,BasicXform,10,2,StatisticBasedCase,55629392,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,4,5,BasicXform,11,2,StatisticBasedCase,311357,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,4,5,BasicXform,11,2,StatisticBasedCase,12855928,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Time,4,5,BasicXform,12,2,StatisticBasedCase,30058531,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
Memory,4,5,BasicXform,12,2,StatisticBasedCase,13045736,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,4,5,BasicXform,12,2,StatisticBasedCase,55806440,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE
