CaseName,PhaseName,Tool,Scenario,MetricValue,MetricName,Sequence,Iteration,Size,RunIndex
StatisticBasedCase,EMFResourceInitialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,423804,Time,1,1,2,5
StatisticBasedCase,EMFResourceInitialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,9489048,Memory,1,1,2,5
StatisticBasedCase,Generation,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,99923118,Time,2,1,2,5
StatisticBasedCase,Generation,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,11331368,Memory,2,1,2,5
StatisticBasedCase,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,35711151,Time,3,1,2,5
StatisticBasedCase,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,11304288,Memory,3,1,2,5
StatisticBasedCase,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,63409224,PeakMemory,3,1,2,5
StatisticBasedCase,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,41934360,AverageMemory,3,1,2,5
StatisticBasedCase,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,27098113,Time,4,1,2,5
StatisticBasedCase,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,12319848,Memory,4,1,2,5
StatisticBasedCase,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,32779592,AverageMemory,4,1,2,5
StatisticBasedCase,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,32779592,PeakMemory,4,1,2,5
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,418936,Time,5,1,2,5
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,12327040,Memory,5,1,2,5
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,28753076,Time,6,1,2,5
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,12504592,Memory,6,1,2,5
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,33802672,PeakMemory,6,1,2,5
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,33802672,AverageMemory,6,1,2,5
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,348484,Time,7,2,2,5
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,12509472,Memory,7,2,2,5
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,25906428,Time,8,2,2,5
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,12660088,Memory,8,2,2,5
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,33985104,AverageMemory,8,2,2,5
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,33985104,PeakMemory,8,2,2,5
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,297768,Time,9,3,2,5
StatisticBasedCase,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,12664696,Memory,9,3,2,5
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,25755161,Time,10,3,2,5
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,12831984,Memory,10,3,2,5
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,34140328,AverageMemory,10,3,2,5
StatisticBasedCase,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,34140328,PeakMemory,10,3,2,5
