Tool,MetricName,Iteration,Sequence,RunIndex,CaseName,Size,Scenario,MetricValue,PhaseName
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,1,1,5,StatisticBasedCase,2,BasicXform,366323,EMFResourceInitialization
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,1,1,5,StatisticBasedCase,2,BasicXform,9547240,EMFResourceInitialization
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,1,2,5,StatisticBasedCase,2,BasicXform,94488712,Generation
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,1,2,5,StatisticBasedCase,2,BasicXform,11913744,Generation
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,1,3,5,StatisticBasedCase,2,BasicXform,36203730,Initialization
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,1,3,5,StatisticBasedCase,2,BasicXform,11421424,Initialization
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,1,3,5,StatisticBasedCase,2,BasicXform,74214496,Initialization
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,1,3,5,StatisticBasedCase,2,BasicXform,42002216,Initialization
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,1,4,5,StatisticBasedCase,2,BasicXform,29056970,M2MTransformation1
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,1,4,5,StatisticBasedCase,2,BasicXform,12639152,M2MTransformation1
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,1,4,5,StatisticBasedCase,2,BasicXform,32896728,M2MTransformation1
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,1,4,5,StatisticBasedCase,2,BasicXform,32896728,M2MTransformation1
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,1,5,5,StatisticBasedCase,2,BasicXform,347335,Modification
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,1,5,5,StatisticBasedCase,2,BasicXform,12648200,Modification
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,1,6,5,StatisticBasedCase,2,BasicXform,31263950,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,1,6,5,StatisticBasedCase,2,BasicXform,12991016,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,1,6,5,StatisticBasedCase,2,BasicXform,34123832,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,1,6,5,StatisticBasedCase,2,BasicXform,34123832,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,2,7,5,StatisticBasedCase,2,BasicXform,265050,Modification
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,2,7,5,StatisticBasedCase,2,BasicXform,12995656,Modification
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,2,8,5,StatisticBasedCase,2,BasicXform,30263606,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,2,8,5,StatisticBasedCase,2,BasicXform,13331832,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,2,8,5,StatisticBasedCase,2,BasicXform,34471288,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,2,8,5,StatisticBasedCase,2,BasicXform,34471288,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,3,9,5,StatisticBasedCase,2,BasicXform,325516,Modification
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,3,9,5,StatisticBasedCase,2,BasicXform,13340224,Modification
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,3,10,5,StatisticBasedCase,2,BasicXform,28144716,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,3,10,5,StatisticBasedCase,2,BasicXform,13700472,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,3,10,5,StatisticBasedCase,2,BasicXform,34815856,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,3,10,5,StatisticBasedCase,2,BasicXform,34815856,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,4,11,5,StatisticBasedCase,2,BasicXform,257779,Modification
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,4,11,5,StatisticBasedCase,2,BasicXform,13705256,Modification
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,4,12,5,StatisticBasedCase,2,BasicXform,28652435,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,4,12,5,StatisticBasedCase,2,BasicXform,14082096,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,4,12,5,StatisticBasedCase,2,BasicXform,35180912,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,4,12,5,StatisticBasedCase,2,BasicXform,35180912,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,5,13,5,StatisticBasedCase,2,BasicXform,263224,Modification
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,5,13,5,StatisticBasedCase,2,BasicXform,14086440,Modification
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Time,5,14,5,StatisticBasedCase,2,BasicXform,24981825,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Memory,5,14,5,StatisticBasedCase,2,BasicXform,14431144,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,5,14,5,StatisticBasedCase,2,BasicXform,35562072,M2MTransformation2
BATCH_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,5,14,5,StatisticBasedCase,2,BasicXform,35562072,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,1,1,3,StatisticBasedCase,2,BasicXform,178890,EMFResourceInitialization
