PhaseName,MetricValue,Iteration,Sequence,Tool,CaseName,Scenario,Size,MetricName,RunIndex
EMFResourceInitialization,417655,1,1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
EMFResourceInitialization,9550808,1,1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
Generation,104321547,1,2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
Generation,11954760,1,2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
Initialization,35808474,1,3,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
Initialization,11419528,1,3,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
Initialization,63481344,1,3,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,5
Initialization,42006480,1,3,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,AverageMemory,5
M2MTransformation1,29035069,1,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
M2MTransformation1,12636992,1,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
M2MTransformation1,32894880,1,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,AverageMemory,5
M2MTransformation1,32894880,1,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,5
Modification,406279,1,5,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
Modification,12644976,1,5,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
M2MTransformation2,32291734,1,6,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
M2MTransformation2,12993688,1,6,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
M2MTransformation2,34120656,1,6,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,5
M2MTransformation2,34120656,1,6,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,AverageMemory,5
Modification,257879,2,7,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
Modification,12998776,2,7,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
M2MTransformation2,30268479,2,8,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
M2MTransformation2,13331552,2,8,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
M2MTransformation2,34474456,2,8,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,5
M2MTransformation2,34474456,2,8,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,AverageMemory,5
Modification,369412,3,9,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
Modification,13336864,3,9,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
M2MTransformation2,29235081,3,10,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
M2MTransformation2,13698376,3,10,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
M2MTransformation2,34812544,3,10,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,5
M2MTransformation2,34812544,3,10,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,AverageMemory,5
Modification,297596,4,11,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
Modification,13702880,4,11,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
M2MTransformation2,28210766,4,12,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
M2MTransformation2,14080520,4,12,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
M2MTransformation2,35178584,4,12,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,5
M2MTransformation2,35178584,4,12,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,AverageMemory,5
Modification,287803,5,13,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
Modification,14088296,5,13,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
M2MTransformation2,26549167,5,14,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,5
M2MTransformation2,14434000,5,14,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,5
M2MTransformation2,35563976,5,14,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,5
M2MTransformation2,35563976,5,14,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,BasicXform,2,AverageMemory,5
EMFResourceInitialization,550654,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,3
EMFResourceInitialization,9590480,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,3
Generation,109847468,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,3
Generation,11379992,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,3
Initialization,48220796,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,3
Initialization,13274584,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,3
Initialization,52775172,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,AverageMemory,3
Initialization,74250024,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,3
M2MTransformation1,42407922,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,3
M2MTransformation1,13839872,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,3
M2MTransformation1,34750016,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,AverageMemory,3
M2MTransformation1,34750016,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,3
Modification,261631,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,3
Modification,13839872,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,3
M2MTransformation2,44834634,1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,3
M2MTransformation2,13844616,1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,3
M2MTransformation2,35315504,1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,AverageMemory,3
M2MTransformation2,35315504,1,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,3
Modification,145700,2,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,3
Modification,13844584,2,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,3
M2MTransformation2,43999473,2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,3
M2MTransformation2,13850544,2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,3
M2MTransformation2,35320216,2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,AverageMemory,3
M2MTransformation2,35320216,2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,3
Modification,151706,3,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,3
Modification,13850512,3,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,3
M2MTransformation2,44278036,3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,3
M2MTransformation2,13856264,3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,3
M2MTransformation2,35326144,3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,AverageMemory,3
M2MTransformation2,35326144,3,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,3
Modification,143714,4,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,3
Modification,13856280,4,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,3
M2MTransformation2,43815980,4,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Time,3
M2MTransformation2,13861624,4,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,Memory,3
M2MTransformation2,35331936,4,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,BasicXform,2,PeakMemory,3
